runtime,family,variant,feature_set,mean_auc,std_auc,mean_accuracy,mean_permutation_auc,chance
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,1.0,0.0,1.0,0.49907407407407406,0.5
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,1.0,0.0,1.0,0.497337962962963,0.5
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,1.0,0.0,1.0,0.5049575617283951,0.5
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,1.0,0.0,1.0,0.49972993827160495,0.5
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,1.0,0.0,1.0,0.4979359567901235,0.5
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,1.0,0.0,1.0,0.5001929012345679,0.5
Microsoft Agent Framework,AUTHORIZATION,M1,TIMING,1.0,0.0,1.0,0.501073816872428,0.5
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,1.0,0.0,1.0,0.49876543209876545,0.5
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,0.5018647119341564,0.03118221258770872,0.4976851851851852,0.5124099794238683,0.5
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,1.0,0.0,0.9861111111111112,0.5008487654320988,0.5
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,0.9936985596707819,0.009135185511922892,0.9884259259259259,0.5076710390946502,0.5
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,1.0,0.0,0.9976851851851852,0.5119341563786008,0.5
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,0.5018647119341564,0.03118221258770872,0.4976851851851852,0.5124099794238683,0.5
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,0.5,0.0,0.5,0.5,0.5
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,0.6308513374485597,0.09692857398397747,0.5578703703703703,0.4827224794238683,0.5
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,0.6031378600823045,0.14776640846900382,0.5717592592592593,0.4984696502057613,0.5
