runtime,cadence,delta_ms,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,P90,1.914,RECEIVER_ARRIVAL,LogisticRegression,0.5594618055555556,0.4508138020833333,0.7005208333333333,0.5107118055555556,0.17647058823529413,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P90,1.914,RECEIVER_ARRIVAL,RandomForest,0.5564236111111112,0.4368706597222222,0.6328559027777778,0.503515625,0.23529411764705882,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P90,1.914,ALL_OBSERVER,LogisticRegression,0.5151909722222222,0.3910264756944445,0.6455512152777777,0.4825173611111111,0.35294117647058826,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P90,1.914,ALL_OBSERVER,RandomForest,0.5240885416666666,0.402902560763889,0.6270128038194444,0.5055642361111112,0.37254901960784315,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P95,2.0118,RECEIVER_ARRIVAL,LogisticRegression,0.45182291666666663,0.3619357638888889,0.5259874131944444,0.5133767361111111,0.8627450980392157,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P95,2.0118,RECEIVER_ARRIVAL,RandomForest,0.611328125,0.5119845920138888,0.6884657118055555,0.5063368055555555,0.058823529411764705,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P95,2.0118,ALL_OBSERVER,LogisticRegression,0.4353298611111111,0.3132921006944444,0.5482530381944444,0.5109982638888889,0.8823529411764706,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P95,2.0118,ALL_OBSERVER,RandomForest,0.5243055555555556,0.44622938368055554,0.5972601996527777,0.5011588541666666,0.3333333333333333,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99,3.2921,RECEIVER_ARRIVAL,LogisticRegression,0.5303819444444444,0.4551215277777778,0.6174370659722221,0.49646701388888886,0.19607843137254902,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99,3.2921,RECEIVER_ARRIVAL,RandomForest,0.38997395833333337,0.2713487413194445,0.48587782118055556,0.5000651041666666,1.0,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99,3.2921,ALL_OBSERVER,LogisticRegression,0.3721788194444444,0.2763617621527778,0.4864963107638889,0.504140625,0.9803921568627451,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99,3.2921,ALL_OBSERVER,RandomForest,0.4481336805555556,0.2860894097222222,0.5661838107638888,0.5043749999999999,0.8627450980392157,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99+1MS,4.2921,RECEIVER_ARRIVAL,LogisticRegression,0.44314236111111116,0.3667751736111111,0.509450954861111,0.5074305555555556,0.9607843137254902,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99+1MS,4.2921,RECEIVER_ARRIVAL,RandomForest,0.48111979166666663,0.41909722222222223,0.5447374131944444,0.5011371527777778,0.5686274509803921,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99+1MS,4.2921,ALL_OBSERVER,LogisticRegression,0.48046874999999994,0.3822265625,0.5796983506944445,0.4994444444444444,0.7058823529411765,96,12,GROUPED_TASK_4FOLD
Microsoft Agent Framework,P99+1MS,4.2921,ALL_OBSERVER,RandomForest,0.5010850694444444,0.3938259548611111,0.5478298611111112,0.5009461805555556,0.49019607843137253,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P90,3.6307,RECEIVER_ARRIVAL,LogisticRegression,0.40234375,0.32735460069444444,0.5081380208333333,0.5036458333333333,0.9411764705882353,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P90,3.6307,RECEIVER_ARRIVAL,RandomForest,0.4602864583333333,0.38566080729166663,0.544384765625,0.5074348958333333,0.803921568627451,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P90,3.6307,ALL_OBSERVER,LogisticRegression,0.6006944444444444,0.5092881944444444,0.7366861979166666,0.5114236111111111,0.11764705882352941,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P90,3.6307,ALL_OBSERVER,RandomForest,0.4346788194444444,0.37019314236111117,0.50244140625,0.5067664930555555,0.9019607843137255,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P95,3.7004,RECEIVER_ARRIVAL,LogisticRegression,0.4118923611111111,0.33368055555555554,0.4803602430555556,0.4978038194444444,0.9803921568627451,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P95,3.7004,RECEIVER_ARRIVAL,RandomForest,0.4563802083333333,0.34671766493055556,0.5801649305555555,0.4971440972222222,0.7647058823529411,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P95,3.7004,ALL_OBSERVER,LogisticRegression,0.501953125,0.43734266493055557,0.5931586371527777,0.4982465277777778,0.5098039215686274,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P95,3.7004,ALL_OBSERVER,RandomForest,0.4858940972222222,0.3672200520833333,0.6145182291666667,0.49370659722222215,0.6666666666666666,96,12,GROUPED_TASK_4FOLD
OpenAI Agents SDK,P99,5.2975,RECEIVER_ARRIVAL,LogisticRegression,0.47612847222222227,0.38827039930555557,0.5820963541666667,0.49654513888888885,0.6862745098039216,96,12,GROUPED_TASK_4FOLD
