task_id,source,split
tau2-retail-0,tau2-bench,FINAL_TEST
tau2-retail-1,tau2-bench,FINAL_TEST
tau2-retail-2,tau2-bench,FINAL_TEST
tau2-retail-5,tau2-bench,CALIBRATION
tau2-retail-6,tau2-bench,CALIBRATION
tau2-retail-7,tau2-bench,DEVELOPMENT
tau2-retail-8,tau2-bench,FINAL_TEST
tau2-retail-9,tau2-bench,FINAL_TEST
tau2-retail-10,tau2-bench,FINAL_TEST
tau2-retail-11,tau2-bench,DEVELOPMENT
tau2-retail-12,tau2-bench,FINAL_TEST
tau2-retail-13,tau2-bench,FINAL_TEST
tau2-retail-14,tau2-bench,DEVELOPMENT
tau2-retail-16,tau2-bench,DEVELOPMENT
tau2-retail-17,tau2-bench,FINAL_TEST
tau2-retail-18,tau2-bench,CALIBRATION
tau2-retail-19,tau2-bench,CALIBRATION
tau2-retail-22,tau2-bench,FINAL_TEST
tau2-retail-23,tau2-bench,FINAL_TEST
tau2-retail-26,tau2-bench,CALIBRATION
agentdojo-workspace-UserTask6,AgentDojo,CALIBRATION
agentdojo-workspace-UserTask7,AgentDojo,FINAL_TEST
agentdojo-workspace-UserTask8,AgentDojo,DEVELOPMENT
agentdojo-workspace-UserTask9,AgentDojo,DEVELOPMENT
agentdojo-workspace-UserTask12,AgentDojo,DEVELOPMENT
agentdojo-workspace-UserTask21,AgentDojo,FINAL_TEST
agentdojo-workspace-UserTask35,AgentDojo,DEVELOPMENT
agentdojo-workspace-UserTask31,AgentDojo,CALIBRATION
agentdojo-workspace-UserTask32,AgentDojo,CALIBRATION
agentdojo-workspace-UserTask15,AgentDojo,DEVELOPMENT
agentdojo-workspace-UserTask18,AgentDojo,DEVELOPMENT
agentdojo-workspace-UserTask20,AgentDojo,FINAL_TEST
agentdojo-workspace-UserTask33,AgentDojo,CALIBRATION
agentdojo-workspace-UserTask25,AgentDojo,FINAL_TEST
agentdojo-workspace-UserTask13,AgentDojo,DEVELOPMENT
agentdojo-slack-UserTask1,AgentDojo,FINAL_TEST
agentdojo-slack-UserTask3,AgentDojo,CALIBRATION
agentdojo-slack-UserTask5,AgentDojo,CALIBRATION
agentdojo-slack-UserTask6,AgentDojo,DEVELOPMENT
agentdojo-slack-UserTask7,AgentDojo,CALIBRATION
