run_id,task_id,family,branch,variant,runtime,cadence
runtime1-dev-0,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-1,agentdojo-workspace-UserTask8,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-2,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-3,agentdojo-workspace-UserTask35,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-4,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-5,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-6,agentdojo-slack-UserTask6,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-7,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-8,agentdojo-workspace-UserTask35,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-9,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-10,agentdojo-workspace-UserTask18,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-11,agentdojo-workspace-UserTask13,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-12,agentdojo-workspace-UserTask18,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-13,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-14,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-15,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-16,tau2-retail-7,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-17,agentdojo-workspace-UserTask35,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-18,tau2-retail-16,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-19,agentdojo-workspace-UserTask8,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-20,tau2-retail-11,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-21,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-22,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-23,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-24,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-25,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-26,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-27,tau2-retail-11,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-28,agentdojo-workspace-UserTask15,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-29,tau2-retail-14,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-30,agentdojo-workspace-UserTask35,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-31,tau2-retail-16,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-32,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-33,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-34,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-35,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-36,tau2-retail-7,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-37,tau2-retail-14,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
