seed,variant,control,feature,accuracy,roc_auc,chance,permutation
0,V2,equal_total,F0,0.49333333333333335,0.5,0.5,0.4888888888888889
0,V2,equal_total,F1,1.0,1.0,0.5,0.4888888888888889
0,V2,equal_total,F2,1.0,1.0,0.5,0.49777777777777776
0,V2-PAD,equal_total,F0,0.49333333333333335,0.5,0.5,0.4888888888888889
0,V2-PAD,equal_total,F1,1.0,1.0,0.5,0.4888888888888889
0,V2-PAD,equal_total,F2,1.0,1.0,0.5,0.49777777777777776
1,V2,equal_total,F0,0.49777777777777776,0.5,0.5,0.4955555555555556
1,V2,equal_total,F1,1.0,1.0,0.5,0.5088888888888888
1,V2,equal_total,F2,1.0,1.0,0.5,0.5088888888888888
1,V2-PAD,equal_total,F0,0.49777777777777776,0.5,0.5,0.4955555555555556
1,V2-PAD,equal_total,F1,1.0,1.0,0.5,0.5088888888888888
1,V2-PAD,equal_total,F2,1.0,1.0,0.5,0.5088888888888888
2,V2,equal_total,F0,0.49777777777777776,0.5,0.5,0.48333333333333334
2,V2,equal_total,F1,1.0,1.0,0.5,0.48333333333333334
2,V2,equal_total,F2,1.0,1.0,0.5,0.5211111111111111
2,V2-PAD,equal_total,F0,0.49777777777777776,0.5,0.5,0.48333333333333334
2,V2-PAD,equal_total,F1,1.0,1.0,0.5,0.48333333333333334
2,V2-PAD,equal_total,F2,1.0,1.0,0.5,0.5211111111111111
