seed,variant,n_blocks,bucket_size,height,logical_accesses,physical_path_reads,physical_buckets,physical_blocks,bandwidth_mib,mean_stash,max_stash,mean_oram_us,p50_oram_us,p95_oram_us,mean_mediation_us
0,V2,128,4,7,9,9.0,72.0,576.0,2.25,0.006888888888888889,3,18.697107407407408,17.8,29.2,180.11243333360957
0,V2-PAD,128,4,7,9,9.0,72.0,576.0,2.25,0.006888888888888889,3,18.730503703703704,17.8,29.2,180.27646666935956
0,V2-HIST,128,4,7,9,9.0,72.0,576.0,2.25,0.006888888888888889,3,18.586596296296296,17.8,29.2,183.44163333434457
0,V3,128,4,7,9,9.0,72.0,576.0,2.25,0.007925925925925927,3,34.55277407407407,31.6,52.4,349.1629666629403
1,V2,128,4,7,9,9.0,72.0,576.0,2.25,0.006074074074074074,4,35.43841481481481,31.2,54.5,355.06899999745656
1,V2-PAD,128,4,7,9,9.0,72.0,576.0,2.25,0.006074074074074074,4,34.03376296296296,30.8,53.0,340.7462333367827
1,V2-HIST,128,4,7,9,9.0,72.0,576.0,2.25,0.006074074074074074,4,34.31248518518519,30.9,53.5,351.8573000037577
1,V3,128,4,7,9,9.0,72.0,576.0,2.25,0.007925925925925927,4,35.04499259259259,31.3,54.8,355.2509333336881
2,V2,128,4,7,9,9.0,72.0,576.0,2.25,0.00837037037037037,4,34.644325925925926,31.5,54.9,348.8485666651589
2,V2-PAD,128,4,7,9,9.0,72.0,576.0,2.25,0.00837037037037037,4,35.182566666666666,31.3,53.6,351.51110000151675
2,V2-HIST,128,4,7,9,9.0,72.0,576.0,2.25,0.00837037037037037,4,34.41632962962963,31.5,53.6,353.03846666647587
2,V3,128,4,7,9,9.0,72.0,576.0,2.25,0.01,4,34.5113,31.5,54.1,350.3437000035774
