seed,variant,control,feature,split,accuracy,roc_auc,chance,permutation
0,V2,equal_count_store_operation,F0,random,0.49,0.5,0.5,0.4888888888888889
0,V2,equal_count_store_operation,F1,random,0.49,0.5,0.5,0.4888888888888889
0,V2,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.49444444444444446
0,V2,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.49444444444444446
0,V2,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
0,V2,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.49444444444444446
0,V2,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.5011111111111111
0,V2,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
0,V2-PAD,equal_count_store_operation,F0,random,0.49,0.5,0.5,0.4888888888888889
0,V2-PAD,equal_count_store_operation,F1,random,0.49,0.5,0.5,0.4888888888888889
0,V2-PAD,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.49444444444444446
0,V2-PAD,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.49444444444444446
0,V2-PAD,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
0,V2-PAD,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.49444444444444446
0,V2-PAD,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.5011111111111111
0,V2-PAD,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
0,V2-HIST,equal_count_store_operation,F0,random,0.49,0.5,0.5,0.4888888888888889
0,V2-HIST,equal_count_store_operation,F1,random,0.49,0.5,0.5,0.4888888888888889
0,V2-HIST,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.49444444444444446
0,V2-HIST,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.49444444444444446
0,V2-HIST,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
0,V2-HIST,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.49444444444444446
0,V2-HIST,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.5011111111111111
0,V2-HIST,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
0,V3,equal_count_store_operation,F0,random,0.49,0.5,0.5,0.4888888888888889
0,V3,equal_count_store_operation,F1,random,0.49,0.5,0.5,0.4888888888888889
0,V3,equal_count_store_operation,F2,random,0.49,0.5,0.5,0.4888888888888889
0,V3,equal_count_store_operation,F3,random,0.49,0.5,0.5,0.4888888888888889
0,V3,equal_count_store_operation,F3,grouped_recipient,0.4704336399474376,0.5,0.5,
0,V3,equal_count_store_operation,F4,random,0.49,0.5,0.5,0.4888888888888889
0,V3,equal_count_store_operation,F5,random,0.5011111111111111,0.5110068718845563,0.5,0.5022222222222222
0,V3,equal_count_store_operation,F5,grouped_recipient,0.4743758212877792,0.4625226998627611,0.5,
1,V2,equal_count_store_operation,F0,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V2,equal_count_store_operation,F1,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V2,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.5155555555555555
1,V2,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.5155555555555555
1,V2,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
1,V2,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.5155555555555555
1,V2,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.49
1,V2,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
1,V2-PAD,equal_count_store_operation,F0,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V2-PAD,equal_count_store_operation,F1,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V2-PAD,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.5155555555555555
1,V2-PAD,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.5155555555555555
1,V2-PAD,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
1,V2-PAD,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.5155555555555555
1,V2-PAD,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.49
1,V2-PAD,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
1,V2-HIST,equal_count_store_operation,F0,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V2-HIST,equal_count_store_operation,F1,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V2-HIST,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.5155555555555555
1,V2-HIST,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.5155555555555555
1,V2-HIST,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
1,V2-HIST,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.5155555555555555
1,V2-HIST,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.49
1,V2-HIST,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
1,V3,equal_count_store_operation,F0,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V3,equal_count_store_operation,F1,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V3,equal_count_store_operation,F2,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V3,equal_count_store_operation,F3,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V3,equal_count_store_operation,F3,grouped_recipient,0.4914134742404227,0.5,0.5,
1,V3,equal_count_store_operation,F4,random,0.4922222222222222,0.5,0.5,0.49666666666666665
1,V3,equal_count_store_operation,F5,random,0.5155555555555555,0.5394910373374298,0.5,0.49444444444444446
1,V3,equal_count_store_operation,F5,grouped_recipient,0.5033025099075297,0.5216973886328725,0.5,
2,V2,equal_count_store_operation,F0,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V2,equal_count_store_operation,F1,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V2,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.4855555555555556
2,V2,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.4855555555555556
2,V2,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
2,V2,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.4855555555555556
2,V2,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.5288888888888889
2,V2,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
2,V2-PAD,equal_count_store_operation,F0,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V2-PAD,equal_count_store_operation,F1,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V2-PAD,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.4855555555555556
2,V2-PAD,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.4855555555555556
2,V2-PAD,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
2,V2-PAD,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.4855555555555556
2,V2-PAD,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.5288888888888889
2,V2-PAD,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
2,V2-HIST,equal_count_store_operation,F0,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V2-HIST,equal_count_store_operation,F1,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V2-HIST,equal_count_store_operation,F2,random,1.0,1.0,0.5,0.4855555555555556
2,V2-HIST,equal_count_store_operation,F3,random,1.0,1.0,0.5,0.4855555555555556
2,V2-HIST,equal_count_store_operation,F3,grouped_recipient,1.0,1.0,0.5,
2,V2-HIST,equal_count_store_operation,F4,random,1.0,1.0,0.5,0.4855555555555556
2,V2-HIST,equal_count_store_operation,F5,random,1.0,1.0,0.5,0.5288888888888889
2,V2-HIST,equal_count_store_operation,F5,grouped_recipient,1.0,1.0,0.5,
2,V3,equal_count_store_operation,F0,random,0.4711111111111111,0.5,0.5,0.4988888888888889
2,V3,equal_count_store_operation,F1,random,0.4711111111111111,0.5,0.5,0.4988888888888889
