variant,control,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
V2,equal_count_store_operation,F0,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V2,equal_count_store_operation,F0,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V2,equal_count_store_operation,F1,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V2,equal_count_store_operation,F1,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V2,equal_count_store_operation,F2,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2,equal_count_store_operation,F2,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2,equal_count_store_operation,F3,grouped_recipient,accuracy,1.0,0.0,0.5,,
V2,equal_count_store_operation,F3,grouped_recipient,roc_auc,1.0,0.0,0.5,,
V2,equal_count_store_operation,F3,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2,equal_count_store_operation,F3,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2,equal_count_store_operation,F4,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2,equal_count_store_operation,F4,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2,equal_count_store_operation,F5,grouped_recipient,accuracy,1.0,0.0,0.5,,
V2,equal_count_store_operation,F5,grouped_recipient,roc_auc,1.0,0.0,0.5,,
V2,equal_count_store_operation,F5,random,accuracy,1.0,0.0,0.5,0.5066666666666666,0.01635511271542193
V2,equal_count_store_operation,F5,random,roc_auc,1.0,0.0,0.5,0.5066666666666666,0.01635511271542193
V2-HIST,equal_count_store_operation,F0,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V2-HIST,equal_count_store_operation,F0,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V2-HIST,equal_count_store_operation,F1,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V2-HIST,equal_count_store_operation,F1,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V2-HIST,equal_count_store_operation,F2,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-HIST,equal_count_store_operation,F2,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-HIST,equal_count_store_operation,F3,grouped_recipient,accuracy,1.0,0.0,0.5,,
V2-HIST,equal_count_store_operation,F3,grouped_recipient,roc_auc,1.0,0.0,0.5,,
V2-HIST,equal_count_store_operation,F3,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-HIST,equal_count_store_operation,F3,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-HIST,equal_count_store_operation,F4,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-HIST,equal_count_store_operation,F4,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-HIST,equal_count_store_operation,F5,grouped_recipient,accuracy,1.0,0.0,0.5,,
V2-HIST,equal_count_store_operation,F5,grouped_recipient,roc_auc,1.0,0.0,0.5,,
V2-HIST,equal_count_store_operation,F5,random,accuracy,1.0,0.0,0.5,0.5066666666666666,0.01635511271542193
V2-HIST,equal_count_store_operation,F5,random,roc_auc,1.0,0.0,0.5,0.5066666666666666,0.01635511271542193
V2-PAD,equal_count_store_operation,F0,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V2-PAD,equal_count_store_operation,F0,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V2-PAD,equal_count_store_operation,F1,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V2-PAD,equal_count_store_operation,F1,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V2-PAD,equal_count_store_operation,F2,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-PAD,equal_count_store_operation,F2,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-PAD,equal_count_store_operation,F3,grouped_recipient,accuracy,1.0,0.0,0.5,,
V2-PAD,equal_count_store_operation,F3,grouped_recipient,roc_auc,1.0,0.0,0.5,,
V2-PAD,equal_count_store_operation,F3,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-PAD,equal_count_store_operation,F3,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-PAD,equal_count_store_operation,F4,random,accuracy,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-PAD,equal_count_store_operation,F4,random,roc_auc,1.0,0.0,0.5,0.4985185185185185,0.012581694630713342
V2-PAD,equal_count_store_operation,F5,grouped_recipient,accuracy,1.0,0.0,0.5,,
V2-PAD,equal_count_store_operation,F5,grouped_recipient,roc_auc,1.0,0.0,0.5,,
V2-PAD,equal_count_store_operation,F5,random,accuracy,1.0,0.0,0.5,0.5066666666666666,0.01635511271542193
V2-PAD,equal_count_store_operation,F5,random,roc_auc,1.0,0.0,0.5,0.5066666666666666,0.01635511271542193
V3,equal_count_store_operation,F0,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F0,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F1,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F1,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F2,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F2,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F3,grouped_recipient,accuracy,0.4797748638884459,0.008717677442272314,0.5,,
V3,equal_count_store_operation,F3,grouped_recipient,roc_auc,0.5,0.0,0.5,,
V3,equal_count_store_operation,F3,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F3,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F4,random,accuracy,0.48444444444444446,0.009471638409292174,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F4,random,roc_auc,0.5,0.0,0.5,0.4948148148148148,0.0042873470010334185
V3,equal_count_store_operation,F5,grouped_recipient,accuracy,0.4962059473782733,0.01574794695689511,0.5,,
V3,equal_count_store_operation,F5,grouped_recipient,roc_auc,0.48998432109937484,0.02434429494387207,0.5,,
V3,equal_count_store_operation,F5,random,accuracy,0.4996296296296296,0.013648537609398721,0.5,0.5051851851851852,0.010196962887360123
V3,equal_count_store_operation,F5,random,roc_auc,0.5106515082957067,0.023693785924719706,0.5,0.5051851851851852,0.010196962887360123
