seed,dataset,architecture,feature,split,metric,value,permutation
0,matched,MODULAR-V2,F0,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V2,F0,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V2,F1,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V2,F1,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V2,F2,random,accuracy,1.0,0.49583333333333335
0,matched,MODULAR-V2,F2,random,roc_auc,1.0,0.49583333333333335
0,matched,MODULAR-V2,F3,random,accuracy,1.0,0.49583333333333335
0,matched,MODULAR-V2,F3,random,roc_auc,1.0,0.49583333333333335
0,matched,MODULAR-V2,F4,random,accuracy,1.0,0.49583333333333335
0,matched,MODULAR-V2,F4,random,roc_auc,1.0,0.49583333333333335
0,matched,MODULAR-V2,F4,grouped_recipient,accuracy,1.0,0.5204582651391162
0,matched,MODULAR-V2,F4,grouped_recipient,roc_auc,1.0,0.5204582651391162
0,matched,MODULAR-V2,F5,random,accuracy,1.0,0.5277777777777778
0,matched,MODULAR-V2,F5,random,roc_auc,1.0,0.5277777777777778
0,natural,MODULAR-V2,F0,random,accuracy,1.0,0.8722222222222222
0,natural,MODULAR-V2,F0,random,roc_auc,1.0,0.8722222222222222
0,natural,MODULAR-V2,F1,random,accuracy,1.0,0.8722222222222222
0,natural,MODULAR-V2,F1,random,roc_auc,1.0,0.8722222222222222
0,natural,MODULAR-V2,F2,random,accuracy,1.0,0.8722222222222222
0,natural,MODULAR-V2,F2,random,roc_auc,1.0,0.8722222222222222
0,natural,MODULAR-V2,F3,random,accuracy,1.0,0.8722222222222222
0,natural,MODULAR-V2,F3,random,roc_auc,1.0,0.8722222222222222
0,natural,MODULAR-V2,F4,random,accuracy,1.0,0.7972222222222223
0,natural,MODULAR-V2,F4,random,roc_auc,1.0,0.7972222222222223
0,natural,MODULAR-V2,F5,random,accuracy,1.0,0.8722222222222222
0,natural,MODULAR-V2,F5,random,roc_auc,1.0,0.8722222222222222
0,natural_balanced,MODULAR-V2,F0,random,accuracy,1.0,0.5
0,natural_balanced,MODULAR-V2,F0,random,roc_auc,1.0,0.5
0,natural_balanced,MODULAR-V2,F1,random,accuracy,1.0,0.5069444444444444
0,natural_balanced,MODULAR-V2,F1,random,roc_auc,1.0,0.5069444444444444
0,natural_balanced,MODULAR-V2,F2,random,accuracy,1.0,0.5069444444444444
0,natural_balanced,MODULAR-V2,F2,random,roc_auc,1.0,0.5069444444444444
0,natural_balanced,MODULAR-V2,F3,random,accuracy,1.0,0.5069444444444444
0,natural_balanced,MODULAR-V2,F3,random,roc_auc,1.0,0.5069444444444444
0,natural_balanced,MODULAR-V2,F4,random,accuracy,1.0,0.49583333333333335
0,natural_balanced,MODULAR-V2,F4,random,roc_auc,1.0,0.49583333333333335
0,natural_balanced,MODULAR-V2,F5,random,accuracy,1.0,0.5375
0,natural_balanced,MODULAR-V2,F5,random,roc_auc,1.0,0.5375
0,matched,MODULAR-V2-PAD,F0,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V2-PAD,F0,random,roc_auc,0.5,0.49166666666666664
0,matched,MODULAR-V2-PAD,F1,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,MODULAR-V2-PAD,F1,random,roc_auc,0.5,0.49166666666666664
