seed,configuration,architecture,logical_accesses,physical_blocks,buckets,bandwidth_mib,mean_latency_us,p95_latency_us,mean_stash,max_stash,tree_nodes,max_path
0,small,MODULAR-V2,11,960,120,3.75,463.57645833333333,560.1,0.011628787878787879,5,8444,12
0,small,MODULAR-V2-PAD,11,960,120,3.75,873.10975,1196.6,0.011628787878787879,5,8444,12
0,small,MODULAR-V2-HIST,11,960,120,3.75,887.4144166666666,1209.2,0.011628787878787879,5,8444,12
0,small,MODULAR-V3,11,960,120,3.75,482.52191666666664,593.2,0.011628787878787879,5,8444,12
0,small,V2-UNIFIED,11,1232,154,4.8125,1658.251375,2196.7,0.01390151515151515,6,16383,14
0,small,V2-UNIFIED-PAD,11,1232,154,4.8125,1659.08325,2211.8,0.01390151515151515,6,16383,14
1,small,MODULAR-V2,11,960,120,3.75,857.6020833333333,1116.8,0.009166666666666667,4,8444,12
1,small,MODULAR-V2-PAD,11,960,120,3.75,856.3013333333333,1119.4,0.009166666666666667,4,8444,12
1,small,MODULAR-V2-HIST,11,960,120,3.75,886.8567083333334,1221.9,0.009166666666666667,4,8444,12
1,small,MODULAR-V3,11,960,120,3.75,871.6900416666666,1144.7,0.009166666666666667,4,8444,12
1,small,V2-UNIFIED,11,1232,154,4.8125,1653.4089166666668,2183.5,0.01268939393939394,5,16383,14
1,small,V2-UNIFIED-PAD,11,1232,154,4.8125,1652.64875,2187.5,0.01268939393939394,5,16383,14
2,small,MODULAR-V2,11,960,120,3.75,868.9694583333334,1148.3,0.008371212121212121,4,8444,12
2,small,MODULAR-V2-PAD,11,960,120,3.75,855.3363333333333,1105.7,0.008371212121212121,4,8444,12
2,small,MODULAR-V2-HIST,11,960,120,3.75,880.210875,1168.1,0.008371212121212121,4,8444,12
2,small,MODULAR-V3,11,960,120,3.75,504.51079166666665,765.8,0.008371212121212121,4,8444,12
2,small,V2-UNIFIED,11,1232,154,4.8125,1672.5194583333334,2262.5,0.015227272727272726,6,16383,14
2,small,V2-UNIFIED-PAD,11,1232,154,4.8125,1662.5804583333334,2210.6,0.015227272727272726,6,16383,14
