dataset,architecture,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
matched,MODULAR-V2,F0,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2,F0,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2,F1,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2,F1,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2,F2,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2,F2,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2,F3,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2,F3,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2,F4,grouped_recipient,accuracy,1.0,0.0,0.5,0.49807884530745955,0.025140810794238192
matched,MODULAR-V2,F4,grouped_recipient,roc_auc,1.0,0.0,0.5,0.49807884530745955,0.025140810794238192
matched,MODULAR-V2,F4,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2,F4,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2,F5,random,accuracy,1.0,0.0,0.5,0.5018518518518519,0.019189242385243246
matched,MODULAR-V2,F5,random,roc_auc,1.0,0.0,0.5,0.5018518518518519,0.019189242385243246
matched,MODULAR-V2-HIST,F0,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-HIST,F1,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-HIST,F2,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-HIST,F2,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-HIST,F3,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-HIST,F3,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-HIST,F4,grouped_recipient,accuracy,1.0,0.0,0.5,0.49807884530745955,0.025140810794238192
matched,MODULAR-V2-HIST,F4,grouped_recipient,roc_auc,1.0,0.0,0.5,0.49807884530745955,0.025140810794238192
matched,MODULAR-V2-HIST,F4,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-HIST,F4,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-HIST,F5,random,accuracy,1.0,0.0,0.5,0.5018518518518519,0.019189242385243246
matched,MODULAR-V2-HIST,F5,random,roc_auc,1.0,0.0,0.5,0.5018518518518519,0.019189242385243246
matched,MODULAR-V2-PAD,F0,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-PAD,F0,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-PAD,F1,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-PAD,F1,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V2-PAD,F2,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-PAD,F2,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-PAD,F3,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-PAD,F3,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-PAD,F4,grouped_recipient,accuracy,1.0,0.0,0.5,0.49807884530745955,0.025140810794238192
matched,MODULAR-V2-PAD,F4,grouped_recipient,roc_auc,1.0,0.0,0.5,0.49807884530745955,0.025140810794238192
matched,MODULAR-V2-PAD,F4,random,accuracy,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-PAD,F4,random,roc_auc,1.0,0.0,0.5,0.5078703703703704,0.020041537798067922
matched,MODULAR-V2-PAD,F5,random,accuracy,1.0,0.0,0.5,0.5018518518518519,0.019189242385243246
matched,MODULAR-V2-PAD,F5,random,roc_auc,1.0,0.0,0.5,0.5018518518518519,0.019189242385243246
matched,MODULAR-V3,F0,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F0,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F1,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F1,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F2,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F2,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F3,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F3,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F4,grouped_recipient,accuracy,0.48670101475709154,0.011189251233630274,0.5,0.4785656372432549,0.013906215114234047
matched,MODULAR-V3,F4,grouped_recipient,roc_auc,0.5,0.0,0.5,0.4785656372432549,0.013906215114234047
matched,MODULAR-V3,F4,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F4,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,MODULAR-V3,F5,random,accuracy,0.5166666666666666,0.014829275350043487,0.5,0.49074074074074076,0.005359183751291778
matched,MODULAR-V3,F5,random,roc_auc,0.5203101257656433,0.01805530996713461,0.5,0.49074074074074076,0.005359183751291778
matched,V2-UNIFIED,F0,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F0,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F1,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F1,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F2,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F2,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F3,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F3,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F4,grouped_recipient,accuracy,0.48670101475709154,0.011189251233630274,0.5,0.4785656372432549,0.013906215114234047
matched,V2-UNIFIED,F4,grouped_recipient,roc_auc,0.5,0.0,0.5,0.4785656372432549,0.013906215114234047
matched,V2-UNIFIED,F4,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F4,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED,F5,random,accuracy,0.5087962962962963,0.011471770086448037,0.5,0.5236111111111111,0.009886183566695675
matched,V2-UNIFIED,F5,random,roc_auc,0.5055382070040071,0.031415313047140146,0.5,0.5236111111111111,0.009886183566695675
matched,V2-UNIFIED-PAD,F0,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F0,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F1,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F1,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F2,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F2,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F3,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F3,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F4,grouped_recipient,accuracy,0.48670101475709154,0.011189251233630274,0.5,0.4785656372432549,0.013906215114234047
matched,V2-UNIFIED-PAD,F4,grouped_recipient,roc_auc,0.5,0.0,0.5,0.4785656372432549,0.013906215114234047
matched,V2-UNIFIED-PAD,F4,random,accuracy,0.49398148148148147,0.0034644975803462493,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F4,random,roc_auc,0.5,0.0,0.5,0.4888888888888889,0.007081971546656639
matched,V2-UNIFIED-PAD,F5,random,accuracy,0.5087962962962963,0.011471770086448037,0.5,0.5236111111111111,0.009886183566695675
matched,V2-UNIFIED-PAD,F5,random,roc_auc,0.5055382070040071,0.031415313047140146,0.5,0.5236111111111111,0.009886183566695675
natural,MODULAR-V2,F0,random,accuracy,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F0,random,roc_auc,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F1,random,accuracy,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F1,random,roc_auc,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F2,random,accuracy,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F2,random,roc_auc,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F3,random,accuracy,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F3,random,roc_auc,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F4,random,accuracy,1.0,0.0,0.5,0.8384259259259259,0.029795542425377918
natural,MODULAR-V2,F4,random,roc_auc,1.0,0.0,0.5,0.8384259259259259,0.029795542425377918
natural,MODULAR-V2,F5,random,accuracy,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2,F5,random,roc_auc,1.0,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F0,random,accuracy,0.8634259259259259,0.013671132463179074,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F1,random,accuracy,0.8634259259259259,0.013671132463179074,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.0,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F2,random,accuracy,0.9583333333333334,0.009001028747788714,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F2,random,roc_auc,0.9563860233651544,0.006460078822960051,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F3,random,accuracy,0.9583333333333334,0.009001028747788714,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F3,random,roc_auc,0.9563860233651544,0.006460078822960051,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F4,random,accuracy,0.9583333333333334,0.009001028747788714,0.5,0.8384259259259259,0.029795542425377918
natural,MODULAR-V2-HIST,F4,random,roc_auc,0.9573919554055692,0.00507380088029547,0.5,0.8384259259259259,0.029795542425377918
natural,MODULAR-V2-HIST,F5,random,accuracy,0.9583333333333334,0.009001028747788714,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-HIST,F5,random,roc_auc,0.9528752624144821,0.007912454667927699,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-PAD,F0,random,accuracy,0.8634259259259259,0.013671132463179074,0.5,0.8634259259259259,0.008808471106685412
natural,MODULAR-V2-PAD,F0,random,roc_auc,0.5,0.0,0.5,0.8634259259259259,0.008808471106685412
