seed,dataset,architecture,accuracy,roc_auc,chance,mean_total_us,p50_total_us,p95_total_us,mean_oram_us,policy_us_per_episode,credential_us_per_episode,history_us_per_episode
0,matched,MODULAR-V2,0.5,0.4952459965271079,0.5,463.57645833333333,457.9,560.1,40.14971590909091,151.42950000000027,13.756166666666623,94.492875
0,natural,MODULAR-V2,0.6944444444444444,0.7732288939185491,0.5,341.63579166666665,330.3,454.3,36.95150579517386,116.95612499999966,13.944374999999976,50.128666666666604
0,natural_balanced,MODULAR-V2,0.5847222222222223,0.6336777289948224,0.5,573.8807916666667,573.5,895.0,58.62593083889855,180.5939583333335,21.633083333333317,109.82908333333336
0,matched,MODULAR-V2-PAD,0.4930555555555556,0.4984294809955624,0.5,873.10975,831.3,1196.6,73.77544696969697,280.9460833333335,26.425583333333325,171.5392499999998
0,natural,MODULAR-V2-PAD,0.6097222222222223,0.5852231541886714,0.5,795.548625,757.0,1055.3,66.83876515151515,211.48395833333393,25.21766666666668,90.64862499999994
0,natural_balanced,MODULAR-V2-PAD,0.5222222222222223,0.5330172300712197,0.5,818.807875,774.8,1136.8,68.7145303030303,212.38562500000003,26.27341666666672,126.0537500000001
0,matched,MODULAR-V2-HIST,0.4861111111111111,0.4900405170750531,0.5,887.4144166666666,832.8,1209.2,73.7494053030303,273.2229166666665,24.822916666666657,170.10604166666707
0,natural,MODULAR-V2-HIST,0.5736111111111111,0.5201630201630202,0.5,806.7692916666666,769.7,1089.1,67.03707196969697,261.57083333333327,25.72662499999995,140.07895833333282
0,natural_balanced,MODULAR-V2-HIST,0.5138888888888888,0.5138928541115286,0.5,827.4815833333333,783.2,1127.3,68.11092803030303,254.79779166666694,26.559125000000048,160.44120833333358
0,matched,MODULAR-V3,0.5083333333333333,0.5017711749951765,0.5,482.52191666666664,462.9,593.2,40.6505,153.31795833333408,14.022583333333326,95.47541666666683
0,natural,MODULAR-V3,0.41944444444444445,0.4963978757082205,0.5,434.120125,422.2,526.5,36.66724621212121,141.329416666666,14.28575000000002,78.78558333333328
0,natural_balanced,MODULAR-V3,0.4861111111111111,0.4826426129831249,0.5,445.80441666666667,433.6,557.4,37.910314393939395,141.09425000000033,14.36445833333334,90.9468333333331
0,matched,V2-UNIFIED,0.5083333333333333,0.5065714836967008,0.5,1658.251375,1581.6,2196.7,144.74085984848486,570.5977499999999,140.20412500000035,308.0533333333342
0,natural,V2-UNIFIED,0.6861111111111111,0.6865116347874969,0.5,1275.0590416666666,1203.0,1851.1,138.92976914307428,455.8018333333338,142.32199999999986,159.03658333333337
0,natural_balanced,V2-UNIFIED,0.5791666666666667,0.6422773323868239,0.5,1320.6135,1247.2,1888.8,138.3209678894886,456.24616666666503,137.16079166666677,209.303208333333
0,matched,V2-UNIFIED-PAD,0.5111111111111111,0.4950723519197376,0.5,1659.08325,1587.4,2211.8,144.63136363636363,576.4179166666672,142.4097083333334,286.5056250000005
0,natural,V2-UNIFIED-PAD,0.4305555555555556,0.4530688323791772,0.5,1519.8830416666667,1481.0,2000.9,132.26302272727273,437.7819166666664,133.07208333333318,151.09495833333332
0,natural_balanced,V2-UNIFIED-PAD,0.4777777777777778,0.4862807583391847,0.5,1549.6684583333333,1496.6,2061.4,134.83435606060607,445.2874583333318,133.656875,200.49237499999967
1,matched,MODULAR-V2,0.5097222222222222,0.5022068071512897,0.5,857.6020833333333,827.7,1116.8,72.54922348484848,275.9187499999999,25.184833333333312,167.306208333333
1,natural,MODULAR-V2,0.7055555555555556,0.7025036818851251,0.5,637.4635833333333,601.3,882.3,67.25776909515415,207.35654166666671,28.823458333333352,91.45229166666668
1,natural_balanced,MODULAR-V2,0.6388888888888888,0.7373375721472885,0.5,678.2067916666666,634.7,945.0,69.071735734632,208.91641666666627,25.738333333333273,126.77312499999984
1,matched,MODULAR-V2-PAD,0.5138888888888888,0.506435234839775,0.5,856.3013333333333,827.0,1119.4,72.50329545454545,278.38337500000114,25.72808333333326,167.1127499999999
1,natural,MODULAR-V2-PAD,0.6388888888888888,0.5336085783786467,0.5,776.3209583333334,751.3,995.6,65.30253409090909,203.62554166666644,24.78912500000002,89.98683333333311
1,natural_balanced,MODULAR-V2-PAD,0.5208333333333334,0.5438825272384951,0.5,811.8019583333333,764.9,1135.4,68.124625,210.25725000000003,25.0118333333334,127.42104166666674
1,matched,MODULAR-V2-HIST,0.5236111111111111,0.526832768771364,0.5,886.8567083333334,835.8,1221.9,73.42260227272727,279.8900833333339,25.688583333333277,171.8042083333332
1,natural,MODULAR-V2-HIST,0.6277777777777778,0.5369015902434181,0.5,812.173125,772.2,1086.2,67.55087878787879,260.4897499999998,25.63654166666666,142.7209583333333
1,natural_balanced,MODULAR-V2-HIST,0.5375,0.5517608568165684,0.5,817.4001666666667,775.3,1107.8,67.70901893939394,255.73520833333328,25.932333333333315,160.5778333333334
1,matched,MODULAR-V3,0.5013888888888889,0.5081675012924483,0.5,871.6900416666666,828.5,1144.7,72.69187878787879,279.4360416666659,25.03891666666663,169.63970833333275
1,natural,MODULAR-V3,0.6236111111111111,0.5398636461418809,0.5,785.727375,752.1,1055.3,65.07866666666666,249.77495833333592,26.139249999999997,137.77066666666684
1,natural_balanced,MODULAR-V3,0.5,0.5197536961017315,0.5,806.5445,762.1,1126.2,67.0943143939394,252.01749999999961,25.655250000000045,159.42637500000018
1,matched,V2-UNIFIED,0.49583333333333335,0.5221606648199446,0.5,1653.4089166666668,1587.9,2183.5,144.39546969696968,567.6695416666654,139.9221666666667,300.3597916666668
1,natural,V2-UNIFIED,0.7041666666666667,0.6629296222137645,0.5,1246.2618333333332,1173.0,1804.2,136.57408872158956,447.68020833333344,136.40812499999998,157.33687500000013
1,natural_balanced,V2-UNIFIED,0.5916666666666667,0.6560734899225285,0.5,1318.2319166666666,1262.6,1836.8,139.30560047780943,463.51629166666845,136.0910416666666,205.75620833333292
1,matched,V2-UNIFIED-PAD,0.5097222222222222,0.5186729835878363,0.5,1652.64875,1589.6,2187.5,144.13537878787878,573.3957916666664,143.2130833333338,287.8686250000002
1,natural,V2-UNIFIED-PAD,0.42083333333333334,0.5070245403849017,0.5,1526.36725,1464.4,2046.6,132.37555303030302,436.89645833333384,134.85775,149.58075000000014
1,natural_balanced,V2-UNIFIED-PAD,0.49583333333333335,0.5028550263897034,0.5,1559.1467083333334,1500.5,2078.9,135.59738257575756,449.8658333333336,135.4082499999999,201.64324999999994
2,matched,MODULAR-V2,0.5111111111111111,0.5204128103989935,0.5,868.9694583333334,833.4,1148.3,73.4753446969697,277.62299999999993,24.903625000000055,171.2259166666668
2,natural,MODULAR-V2,0.6958333333333333,0.6443046249387154,0.5,649.1720833333334,604.0,885.8,68.59876367094627,222.40712499999998,25.615499999999997,91.4129583333333
2,natural_balanced,MODULAR-V2,0.6097222222222223,0.6973759424051416,0.5,666.782625,638.3,935.8,67.50087587245108,207.00095833333285,26.72058333333335,125.4913749999998
2,matched,MODULAR-V2-PAD,0.49722222222222223,0.4892243209238061,0.5,855.3363333333333,828.6,1105.7,72.35364393939393,276.2093749999992,25.187916666666634,167.54266666666635
2,natural,MODULAR-V2-PAD,0.6055555555555555,0.4751684189500826,0.5,803.17925,766.1,1089.2,67.36242803030304,213.6530416666669,25.938749999999963,93.32708333333336
2,natural_balanced,MODULAR-V2-PAD,0.5291666666666667,0.5371825176121616,0.5,803.2224166666666,773.1,1075.6,67.67307954545454,208.82933333333295,25.166208333333305,126.66833333333311
2,matched,MODULAR-V2-HIST,0.49166666666666664,0.4852683499162492,0.5,880.210875,846.0,1168.1,73.01689015151516,276.45429166666617,25.20308333333337,170.1140833333337
2,natural,MODULAR-V2-HIST,0.6069444444444444,0.5294256505238691,0.5,791.0359166666667,763.6,1037.4,65.6115946969697,252.6877916666666,26.148124999999958,143.37658333333317
