seed,system,distribution,variant,feature,split,metric,value,permutation
0,GAAP-derived,balanced,MODULAR-ORAM,F0,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,MODULAR-ORAM,F0,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,MODULAR-ORAM,F0,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,MODULAR-ORAM,F1,random,accuracy,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F1,random,macro_f1,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F1,random,roc_auc,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F2,random,accuracy,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F2,random,macro_f1,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F2,random,roc_auc,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F3,random,accuracy,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F3,random,macro_f1,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F3,random,roc_auc,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F4,random,accuracy,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F4,random,macro_f1,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F4,random,roc_auc,1.0,0.5388888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F4,grouped_entity,accuracy,1.0,0.5404040404040404
0,GAAP-derived,balanced,MODULAR-ORAM,F4,grouped_entity,macro_f1,1.0,0.5404040404040404
0,GAAP-derived,balanced,MODULAR-ORAM,F4,grouped_entity,roc_auc,1.0,0.5404040404040404
0,GAAP-derived,balanced,MODULAR-ORAM,F5,random,accuracy,1.0,0.4888888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F5,random,macro_f1,1.0,0.4888888888888889
0,GAAP-derived,balanced,MODULAR-ORAM,F5,random,roc_auc,1.0,0.4888888888888889
0,GAAP-derived,balanced,CANONICAL-MODULAR,F0,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F0,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F0,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F1,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F1,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F1,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F2,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F2,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F2,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F3,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F3,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F3,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F4,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F4,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F4,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,accuracy,0.5067340067340067,0.5252525252525253
0,GAAP-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,macro_f1,0.33631284916201115,0.5252525252525253
0,GAAP-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,roc_auc,0.5,0.5252525252525253
0,GAAP-derived,balanced,CANONICAL-MODULAR,F5,random,accuracy,0.4986111111111111,0.5166666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F5,random,macro_f1,0.4974235026828443,0.5166666666666667
0,GAAP-derived,balanced,CANONICAL-MODULAR,F5,random,roc_auc,0.5101182399689862,0.5166666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F0,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F0,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F0,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F1,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F1,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F1,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F2,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F2,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F2,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F3,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F3,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F3,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,accuracy,0.5067340067340067,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,macro_f1,0.33631284916201115,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,roc_auc,0.5,0.5252525252525253
0,GAAP-derived,balanced,UNIFIED-ORAM,F5,random,accuracy,0.5013888888888889,0.4652777777777778
0,GAAP-derived,balanced,UNIFIED-ORAM,F5,random,macro_f1,0.4848522896450288,0.4652777777777778
0,GAAP-derived,balanced,UNIFIED-ORAM,F5,random,roc_auc,0.5270401240550494,0.4652777777777778
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,accuracy,0.4652777777777778,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,macro_f1,0.3175355450236967,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,roc_auc,0.5,0.5041666666666667
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,accuracy,0.4652777777777778,0.5041666666666667
