seed,system,distribution,variant,logical_accesses,physical_blocks,bandwidth_mib,tree_nodes,mean_latency_us,p50_latency_us,p95_latency_us,mean_stash,max_stash,dummy_fraction
0,GAAP-derived,balanced,MODULAR-ORAM,3,275.92,1.0778125,8189,154.53958333333333,151.1,211.0,0.013472222222222222,5,0.0
0,GAAP-derived,balanced,CANONICAL-MODULAR,4,368,1.4375,8189,187.64604166666666,183.8,247.2,0.01,6,0.25
0,GAAP-derived,balanced,UNIFIED-ORAM,3,312,1.21875,8191,222.918875,218.6,307.3,0.013472222222222222,3,0.0
0,GAAP-derived,balanced,UNIFIED-ORAM-PAD,4,416,1.625,8191,268.034875,261.3,360.2,0.008333333333333333,4,0.25
0,GAAP-derived,natural,MODULAR-ORAM,3,274.41333333333336,1.0719270833333334,8189,245.69279166666666,247.8,373.4,0.010833333333333334,3,0.0
0,GAAP-derived,natural,CANONICAL-MODULAR,4,368,1.4375,8189,332.66883333333334,321.1,446.9,0.005833333333333334,3,0.25
0,GAAP-derived,natural,UNIFIED-ORAM,3,312,1.21875,8191,410.4164166666667,388.8,626.1,0.021805555555555557,5,0.0
0,GAAP-derived,natural,UNIFIED-ORAM-PAD,4,416,1.625,8191,491.7525416666667,465.6,726.9,0.0077083333333333335,5,0.25
0,PAuth-derived,balanced,MODULAR-ORAM,1,88,0.34375,2047,84.428,79.0,132.9,0.01375,3,0.0
0,PAuth-derived,balanced,CANONICAL-MODULAR,1,88,0.34375,2047,89.23575,78.7,138.0,0.01375,3,0.0
0,PAuth-derived,balanced,UNIFIED-ORAM,1,88,0.34375,2047,85.78158333333333,80.3,135.1,0.01375,3,0.0
0,PAuth-derived,balanced,UNIFIED-ORAM-PAD,1,88,0.34375,2047,83.36266666666667,78.1,129.2,0.01375,3,0.0
0,PAuth-derived,natural,MODULAR-ORAM,1,88,0.34375,2047,85.59745833333334,76.8,137.3,0.0175,4,0.0
0,PAuth-derived,natural,CANONICAL-MODULAR,1,88,0.34375,2047,83.23745833333334,78.2,130.5,0.0175,4,0.0
0,PAuth-derived,natural,UNIFIED-ORAM,1,88,0.34375,2047,81.417875,76.6,124.5,0.0175,4,0.0
0,PAuth-derived,natural,UNIFIED-ORAM-PAD,1,88,0.34375,2047,87.57666666666667,80.0,152.7,0.0175,4,0.0
1,GAAP-derived,balanced,MODULAR-ORAM,3,276.06666666666666,1.0783854166666667,8189,282.0323333333333,272.4,391.0,0.01986111111111111,5,0.0
1,GAAP-derived,balanced,CANONICAL-MODULAR,4,368,1.4375,8189,339.5514166666667,324.5,469.4,0.009270833333333334,5,0.25
1,GAAP-derived,balanced,UNIFIED-ORAM,3,312,1.21875,8191,402.579,384.9,583.1,0.020277777777777777,5,0.0
1,GAAP-derived,balanced,UNIFIED-ORAM-PAD,4,416,1.625,8191,487.766,467.1,702.2,0.0075,4,0.25
1,GAAP-derived,natural,MODULAR-ORAM,3,274.3933333333333,1.0718489583333333,8189,275.0822083333333,264.4,378.0,0.02666666666666667,8,0.0
1,GAAP-derived,natural,CANONICAL-MODULAR,4,368,1.4375,8189,339.9155416666667,323.2,483.5,0.01885416666666667,8,0.25
1,GAAP-derived,natural,UNIFIED-ORAM,3,312,1.21875,8191,411.54945833333335,391.5,611.3,0.025694444444444443,7,0.0
1,GAAP-derived,natural,UNIFIED-ORAM-PAD,4,416,1.625,8191,484.16358333333335,465.9,683.7,0.0069791666666666665,5,0.25
1,PAuth-derived,balanced,MODULAR-ORAM,1,88,0.34375,2047,83.49179166666667,78.3,132.2,0.022916666666666665,4,0.0
1,PAuth-derived,balanced,CANONICAL-MODULAR,1,88,0.34375,2047,82.88,77.9,126.0,0.022916666666666665,4,0.0
1,PAuth-derived,balanced,UNIFIED-ORAM,1,88,0.34375,2047,82.38520833333334,77.7,128.4,0.022916666666666665,4,0.0
1,PAuth-derived,balanced,UNIFIED-ORAM-PAD,1,88,0.34375,2047,79.72295833333334,76.0,123.3,0.022916666666666665,4,0.0
1,PAuth-derived,natural,MODULAR-ORAM,1,88,0.34375,2047,84.87766666666667,78.7,127.9,0.00625,3,0.0
1,PAuth-derived,natural,CANONICAL-MODULAR,1,88,0.34375,2047,83.75666666666666,78.4,126.8,0.00625,3,0.0
1,PAuth-derived,natural,UNIFIED-ORAM,1,88,0.34375,2047,82.22379166666667,77.2,125.5,0.00625,3,0.0
1,PAuth-derived,natural,UNIFIED-ORAM-PAD,1,88,0.34375,2047,81.463125,77.4,127.8,0.00625,3,0.0
2,GAAP-derived,balanced,MODULAR-ORAM,3,276.10333333333335,1.0785286458333334,8189,289.5905833333333,274.7,416.6,0.020416666666666666,4,0.0
2,GAAP-derived,balanced,CANONICAL-MODULAR,4,368,1.4375,8189,351.47091666666665,330.7,488.2,0.008020833333333333,4,0.25
2,GAAP-derived,balanced,UNIFIED-ORAM,3,312,1.21875,8191,400.54183333333333,384.7,573.6,0.017361111111111112,4,0.0
2,GAAP-derived,balanced,UNIFIED-ORAM-PAD,4,416,1.625,8191,487.44166666666666,464.5,683.7,0.0078125,3,0.25
2,GAAP-derived,natural,MODULAR-ORAM,3,274.51,1.0723046875,8189,275.47358333333335,266.8,378.5,0.01375,5,0.0
2,GAAP-derived,natural,CANONICAL-MODULAR,4,368,1.4375,8189,341.04895833333336,329.5,457.9,0.007916666666666667,4,0.25
