system,distribution,variant,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
GAAP-derived,balanced,CANONICAL-MODULAR,F0,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F0,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F0,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F1,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F1,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F1,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F2,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F2,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F2,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F3,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F3,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F3,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,accuracy,0.512008931339483,0.004202564618700843,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,macro_f1,0.33862313457285526,0.001838763351521603,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,roc_auc,0.5,0.0,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,CANONICAL-MODULAR,F4,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F4,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F4,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,CANONICAL-MODULAR,F5,random,accuracy,0.4930555555555556,0.00988618356669565,0.5,0.4930555555555556,0.017458062624967442
GAAP-derived,balanced,CANONICAL-MODULAR,F5,random,macro_f1,0.4907966790427834,0.00909738683789012,0.5,0.4930555555555556,0.017458062624967442
GAAP-derived,balanced,CANONICAL-MODULAR,F5,random,roc_auc,0.4941735407259205,0.020130419953888624,0.5,0.4930555555555556,0.017458062624967442
GAAP-derived,balanced,MODULAR-ORAM,F0,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,MODULAR-ORAM,F0,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,MODULAR-ORAM,F0,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,MODULAR-ORAM,F1,random,accuracy,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F1,random,macro_f1,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F1,random,roc_auc,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F2,random,accuracy,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F2,random,macro_f1,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F2,random,roc_auc,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F3,random,accuracy,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F3,random,macro_f1,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F3,random,roc_auc,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F4,grouped_entity,accuracy,1.0,0.0,0.5,0.5259706550268294,0.010985405862551312
GAAP-derived,balanced,MODULAR-ORAM,F4,grouped_entity,macro_f1,1.0,0.0,0.5,0.5259706550268294,0.010985405862551312
GAAP-derived,balanced,MODULAR-ORAM,F4,grouped_entity,roc_auc,1.0,0.0,0.5,0.5259706550268294,0.010985405862551312
GAAP-derived,balanced,MODULAR-ORAM,F4,random,accuracy,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F4,random,macro_f1,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F4,random,roc_auc,1.0,0.0,0.5,0.5092592592592593,0.02122572849323638
GAAP-derived,balanced,MODULAR-ORAM,F5,random,accuracy,1.0,0.0,0.5,0.49074074074074076,0.006928995160692484
GAAP-derived,balanced,MODULAR-ORAM,F5,random,macro_f1,1.0,0.0,0.5,0.49074074074074076,0.006928995160692484
GAAP-derived,balanced,MODULAR-ORAM,F5,random,roc_auc,1.0,0.0,0.5,0.49074074074074076,0.006928995160692484
GAAP-derived,balanced,UNIFIED-ORAM,F0,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F0,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F0,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F1,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F1,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F1,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F2,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F2,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F2,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F3,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F3,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F3,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,accuracy,0.512008931339483,0.004202564618700843,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,macro_f1,0.33862313457285526,0.001838763351521603,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,UNIFIED-ORAM,F4,grouped_entity,roc_auc,0.5,0.0,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,UNIFIED-ORAM,F4,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F4,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F4,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM,F5,random,accuracy,0.5027777777777778,0.010817890227359218,0.5,0.5009259259259259,0.02660325536770118
