regime,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
S,MODULAR-ORAM,leak,3,3,208.0,44.75,183296.0,9026048,2560,24576,27136,0,3,3,54,7.984148550724638,40.91428571428571,data:256;perm:128;hist:256,data:4096;perm:128;hist:256,data:8;perm:7;hist:8
S,NAIVE-FIXED,pass,4,4,280,83.0,339968,9026048,2560,24576,27392,0.25,4,3,72,7.984148550724638,75.88571428571429,data:256;perm:128;hist:256,data:4096;perm:128;hist:256,data:8;perm:7;hist:8
S,CANONICAL-MODULAR,pass,4,4,280,83.0,339968,9026048,2560,24576,27392,0.25,4,3,72,7.984148550724638,75.88571428571429,data:256;perm:128;hist:256,data:4096;perm:128;hist:256,data:8;perm:7;hist:8
S,UNIFIED-FIXED,pass,3,3,264,264.0,1081344,33538048,2560,24576,27136,0,3,3,54,29.666666666666668,241.37142857142857,unified:640,unified:4096,unified:10
S,UNIFIED-PACKED,pass,3.0,3.0,240.0,240.0,983040.0,16760832,1116,24576,25692,0,3,3,54.0,14.826086956521738,219.42857142857142,packed-pages:279,packed:4096,unified-packed:9
S,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,336.0,336.0,1376256.0,16646144,3348,24576,27924,0,6,6,108.0,14.72463768115942,307.2,packed-pages:279,packed:4096,8 partitions:6
S,HYBRID-P,pass,3,3,216,81.0,331776,8895488,2048,24576,43008,0.3333333333333333,3,2,54,7.868659420289855,74.05714285714286,data:256;hist:256,data:4096;hist:256,data:8;hist:8
S,HYBRID-PH,pass,1,1,72,72.0,294912,8372224,1024,24576,107520,0.5,1,1,18,7.405797101449275,65.82857142857142,data:256,data:4096,data:8
S,SCAN-PERMISSION,pass,3,3,216,85.0,348160,8911872,2048,24576,26624,0.25,3,3,54,7.883152173913044,77.71428571428571,data:256;hist:256;perm-scan:128,data:4096;hist:256;perm:128,data:8;hist:8;perm:scan
S,SCAN-HISTORY,pass,2,2,136,106.0,434176,8568320,1536,24576,26112,0.3333333333333333,2,3,36,7.5792572463768115,96.91428571428571,data:256;perm:128;hist-scan:256,data:4096;perm:128;hist:256,data:8;perm:7;hist:scan
S,SCAN-BOTH,pass,1,1,72,108.0,442368,8454144,1024,24576,25600,0.3333333333333333,1,3,18,7.478260869565218,98.74285714285715,data:256;perm-scan:128;hist-scan:256,data:4096;perm:128;hist:256,data:8;perm:scan;hist:scan
M,MODULAR-ORAM,leak,3,3,300.0,68.5,280576.0,277854720,53248,24576,77824,0,3,3,54,7.9994840801886795,62.628571428571426,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
M,NAIVE-FIXED,pass,4,4,408,127.75,523264,277854720,53248,24576,78080,0.25,4,3,72,7.9994840801886795,116.8,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
M,CANONICAL-MODULAR,pass,4,4,408,127.75,523264,277854720,53248,24576,78080,0.25,4,3,72,7.9994840801886795,116.8,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
M,UNIFIED-FIXED,pass,3,3,360,360.0,1474560,536854528,53248,24576,77824,0,3,3,54,15.456132075471698,329.14285714285717,unified:13312,unified:4096,unified:14
M,UNIFIED-PACKED,pass,3.0,3.0,360.0,360.0,1474560.0,536854528,34012,24576,58588,0,3,3,54.0,15.456132075471698,329.14285714285717,packed-pages:8503,packed:4096,unified-packed:14
M,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,576.0,576.0,2359296.0,536739840,102036,24576,126612,0,6,6,108.0,15.452830188679245,526.6285714285714,packed-pages:8503,packed:4096,8 partitions:11
M,HYBRID-P,pass,3,3,320,125.0,512000,276806656,49152,24576,204800,0.3333333333333333,3,2,54,7.969310141509434,114.28571428571429,data:8192;hist:4096,data:4096;hist:256,data:13;hist:12
M,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,1236992,0.5,1,1,18,7.7278301886792455,102.4,data:8192,data:4096,data:13
M,SCAN-PERMISSION,pass,3,3,320,157.0,643072,276937728,49152,24576,73728,0.25,3,3,54,7.973083726415094,143.54285714285714,data:8192;hist:4096;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:12;perm:scan
M,SCAN-HISTORY,pass,2,2,200,626.75,2567168,270515712,36864,24576,61440,0.3333333333333333,2,3,36,7.7881928066037736,573.0285714285715,data:8192;perm:1024;hist-scan:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
M,SCAN-BOTH,pass,1,1,112,656.0,2686976,269598720,32768,24576,57344,0.3333333333333333,1,3,18,7.761792452830188,599.7714285714286,data:8192;perm-scan:1024;hist-scan:4096,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
L,MODULAR-ORAM,leak,3,3,404.0,85.25,349184.0,2432678400,851968,24576,876544,0,3,3,54,7.9999410695043105,77.94285714285714,data:65536;perm:16384;hist:131072,data:4096;perm:128;hist:256,data:16;perm:14;hist:17
L,NAIVE-FIXED,pass,4,4,544,157.75,646144,2432678400,851968,24576,876800,0.25,4,3,72,7.9999410695043105,144.22857142857143,data:65536;perm:16384;hist:131072,data:4096;perm:128;hist:256,data:16;perm:14;hist:17
L,CANONICAL-MODULAR,pass,4,4,544,157.75,646144,2432678400,851968,24576,876800,0.25,4,3,72,7.9999410695043105,144.22857142857143,data:65536;perm:16384;hist:131072,data:4096;perm:128;hist:256,data:16;perm:14;hist:17
L,UNIFIED-FIXED,pass,3,3,456,456.0,1867776,8589918208,851968,24576,876544,0,3,3,54,28.248221982758622,416.9142857142857,unified:212992,unified:4096,unified:18
