target,record_count,record_bytes,profile,architecture,privacy,modeled_parallel_ms,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
permission,4,64,LOCAL,CANONICAL-MODULAR,pass,0.4978288,4,4,344,125.375,513536,276808448,49168,24576,74000,0.25,4,3,72,7.999489527924302,116.28985507246377,data:8192;perm:4;hist:4096,data:4096;perm:64;hist:256,data:13;perm:2;hist:12
permission,4,64,DATACENTER,CANONICAL-MODULAR,pass,2.726144,4,4,344,125.375,513536,276808448,49168,24576,74000,0.25,4,3,72,7.999489527924302,116.28985507246377,data:8192;perm:4;hist:4096,data:4096;perm:64;hist:256,data:13;perm:2;hist:12
permission,4,64,REMOTE,CANONICAL-MODULAR,pass,35.613440000000004,4,4,344,125.375,513536,276808448,49168,24576,74000,0.25,4,3,72,7.999489527924302,116.28985507246377,data:8192;perm:4;hist:4096,data:4096;perm:64;hist:256,data:13;perm:2;hist:12
permission,4,64,LOCAL,SCAN-PERMISSION,pass,0.47880480000000003,3,3,320,125.0625,512256,276806912,49152,24576,73728,0.25,3,3,54,7.999445139048155,116.0,data:8192;hist:4096;perm-scan:4,data:4096;hist:256;perm:64,data:13;hist:12;perm:scan
permission,4,64,DATACENTER,SCAN-PERMISSION,pass,2.703024,3,3,320,125.0625,512256,276806912,49152,24576,73728,0.25,3,3,54,7.999445139048155,116.0,data:8192;hist:4096;perm-scan:4,data:4096;hist:256;perm:64,data:13;hist:12;perm:scan
permission,4,64,REMOTE,SCAN-PERMISSION,pass,35.54424,3,3,320,125.0625,512256,276806912,49152,24576,73728,0.25,3,3,54,7.999445139048155,116.0,data:8192;hist:4096;perm-scan:4,data:4096;hist:256;perm:64,data:13;hist:12;perm:scan
permission,8,64,LOCAL,CANONICAL-MODULAR,pass,0.4982384,4,4,352,125.5,514048,276810496,49184,24576,74016,0.25,4,3,72,7.999489531700821,116.40579710144928,data:8192;perm:8;hist:4096,data:4096;perm:64;hist:256,data:13;perm:3;hist:12
permission,8,64,DATACENTER,CANONICAL-MODULAR,pass,2.728192,4,4,352,125.5,514048,276810496,49184,24576,74016,0.25,4,3,72,7.999489531700821,116.40579710144928,data:8192;perm:8;hist:4096,data:4096;perm:64;hist:256,data:13;perm:3;hist:12
permission,8,64,REMOTE,CANONICAL-MODULAR,pass,35.63392,4,4,352,125.5,514048,276810496,49184,24576,74016,0.25,4,3,72,7.999489531700821,116.40579710144928,data:8192;perm:8;hist:4096,data:4096;perm:64;hist:256,data:13;perm:3;hist:12
permission,8,64,LOCAL,SCAN-PERMISSION,pass,0.4790096,3,3,320,125.125,512512,276807168,49152,24576,73728,0.25,3,3,54,7.99939335651402,116.05797101449275,data:8192;hist:4096;perm-scan:8,data:4096;hist:256;perm:64,data:13;hist:12;perm:scan
permission,8,64,DATACENTER,SCAN-PERMISSION,pass,2.704048,3,3,320,125.125,512512,276807168,49152,24576,73728,0.25,3,3,54,7.99939335651402,116.05797101449275,data:8192;hist:4096;perm-scan:8,data:4096;hist:256;perm:64,data:13;hist:12;perm:scan
permission,8,64,REMOTE,SCAN-PERMISSION,pass,35.55448,3,3,320,125.125,512512,276807168,49152,24576,73728,0.25,3,3,54,7.99939335651402,116.05797101449275,data:8192;hist:4096;perm-scan:8,data:4096;hist:256;perm:64,data:13;hist:12;perm:scan
permission,16,64,LOCAL,CANONICAL-MODULAR,pass,0.49864800000000004,4,4,360,125.625,514560,276814592,49216,24576,74048,0.25,4,3,72,7.999489539253692,116.52173913043478,data:8192;perm:16;hist:4096,data:4096;perm:64;hist:256,data:13;perm:4;hist:12
permission,16,64,DATACENTER,CANONICAL-MODULAR,pass,2.7302400000000002,4,4,360,125.625,514560,276814592,49216,24576,74048,0.25,4,3,72,7.999489539253692,116.52173913043478,data:8192;perm:16;hist:4096,data:4096;perm:64;hist:256,data:13;perm:4;hist:12
permission,16,64,REMOTE,CANONICAL-MODULAR,pass,35.6544,4,4,360,125.625,514560,276814592,49216,24576,74048,0.25,4,3,72,7.999489539253692,116.52173913043478,data:8192;perm:16;hist:4096,data:4096;perm:64;hist:256,data:13;perm:4;hist:12
