history_records,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
64,MODULAR-ORAM,leak,3,3,228.0,64.0,262144.0,269597184,37120,24576,61696,0,3,3,54,7.999468279047156,58.51428571428571,data:8192;perm:1024;hist:64,data:4096;perm:128;hist:256,data:13;perm:10;hist:6
64,NAIVE-FIXED,pass,4,4,312,121.75,498688,269597184,37120,24576,61952,0.25,4,3,72,7.999468279047156,111.31428571428572,data:8192;perm:1024;hist:64,data:4096;perm:128;hist:256,data:13;perm:10;hist:6
64,CANONICAL-MODULAR,pass,4,4,312,121.75,498688,269597184,37120,24576,61952,0.25,4,3,72,7.999468279047156,111.31428571428572,data:8192;perm:1024;hist:64,data:4096;perm:128;hist:256,data:13;perm:10;hist:6
64,UNIFIED-FIXED,pass,3,3,360,360.0,1474560,536854528,37120,24576,61696,0,3,3,54,15.929508993680116,329.14285714285717,unified:9280,unified:4096,unified:14
64,UNIFIED-PACKED,pass,3.0,3.0,360.0,360.0,1474560.0,536854528,32936,24576,57512,0,3,3,54.0,15.929508993680116,329.14285714285717,packed-pages:8234,packed:4096,unified-packed:14
64,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,576.0,576.0,2359296.0,536739840,98808,24576,123384,0,6,6,108.0,15.926105979581916,526.6285714285714,packed-pages:8234,packed:4096,8 partitions:11
64,HYBRID-P,pass,3,3,224,119.0,487424,268549120,33024,24576,188672,0.3333333333333333,3,2,54,7.968370199319398,108.8,data:8192;hist:64,data:4096;hist:256,data:13;hist:6
64,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,204800,0.5,1,1,18,7.964511424404472,102.4,data:8192,data:4096,data:13
64,SCAN-PERMISSION,pass,3,3,224,151.0,618496,268680192,33024,24576,57600,0.25,3,3,54,7.97225935828877,138.05714285714285,data:8192;hist:64;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:6;perm:scan
64,SCAN-HISTORY,pass,2,2,200,122.75,502784,269483520,36864,24576,61440,0.3333333333333333,2,3,36,7.996095649003403,112.22857142857143,data:8192;perm:1024;hist-scan:64,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
64,SCAN-BOTH,pass,1,1,112,152.0,622592,268566528,32768,24576,57344,0.3333333333333333,1,3,18,7.968886728245017,138.97142857142856,data:8192;perm-scan:1024;hist-scan:64,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
256,MODULAR-ORAM,leak,3,3,252.0,65.5,268288.0,269990400,37888,24576,62464,0,3,3,54,7.999469053398058,59.885714285714286,data:8192;perm:1024;hist:256,data:4096;perm:128;hist:256,data:13;perm:10;hist:8
256,NAIVE-FIXED,pass,4,4,344,123.75,506880,269990400,37888,24576,62720,0.25,4,3,72,7.999469053398058,113.14285714285714,data:8192;perm:1024;hist:256,data:4096;perm:128;hist:256,data:13;perm:10;hist:8
256,CANONICAL-MODULAR,pass,4,4,344,123.75,506880,269990400,37888,24576,62720,0.25,4,3,72,7.999469053398058,113.14285714285714,data:8192;perm:1024;hist:256,data:4096;perm:128;hist:256,data:13;perm:10;hist:8
256,UNIFIED-FIXED,pass,3,3,360,360.0,1474560,536854528,37888,24576,62464,0,3,3,54,15.90631067961165,329.14285714285717,unified:9472,unified:4096,unified:14
256,UNIFIED-PACKED,pass,3.0,3.0,360.0,360.0,1474560.0,536854528,32988,24576,57564,0,3,3,54.0,15.90631067961165,329.14285714285717,packed-pages:8247,packed:4096,unified-packed:14
256,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,576.0,576.0,2359296.0,536739840,98964,24576,123540,0,6,6,108.0,15.902912621359222,526.6285714285714,packed-pages:8247,packed:4096,8 partitions:11
