seed,architecture,mean_latency_us,p50_latency_us,p95_latency_us,dummy_fraction
0,MODULAR-ORAM,83.61485,81.6,111.0,0.0
0,NAIVE-FIXED,104.6003,101.9,134.2,0.25
0,CANONICAL-MODULAR,101.710625,98.9,132.0,0.25
0,UNIFIED-FIXED,154.83625,150.5,217.3,0.0
0,UNIFIED-PACKED,154.007275,149.4,217.0,0.0
0,RANDOMIZED-PARTITION,133.234275,128.4,163.7,0.0
0,HYBRID-P,80.267075,77.8,106.9,0.3333333333333333
0,HYBRID-PH,23.14915,22.1,35.2,0.5
0,SCAN-PERMISSION,79.390675,76.4,106.6,0.25
0,SCAN-HISTORY,45.57265,44.1,61.1,0.16666666666666666
0,SCAN-BOTH,23.9857,22.7,36.3,0.16666666666666666
1,MODULAR-ORAM,84.9215,82.1,112.7,0.0
1,NAIVE-FIXED,101.700275,98.2,132.9,0.25
1,CANONICAL-MODULAR,105.24305,100.8,135.3,0.25
1,UNIFIED-FIXED,157.7079,152.3,221.3,0.0
1,UNIFIED-PACKED,158.28225,152.7,221.8,0.0
1,RANDOMIZED-PARTITION,129.22655,126.3,159.2,0.0
1,HYBRID-P,80.01535,77.3,107.3,0.3333333333333333
1,HYBRID-PH,22.5795,21.5,34.2,0.5
1,SCAN-PERMISSION,79.543225,76.7,107.6,0.25
1,SCAN-HISTORY,44.775150000000004,43.5,60.5,0.16666666666666666
1,SCAN-BOTH,23.088375,22.0,35.4,0.16666666666666666
2,MODULAR-ORAM,82.810225,80.4,110.2,0.0
2,NAIVE-FIXED,102.664475,99.8,134.7,0.25
2,CANONICAL-MODULAR,105.591575,101.4,138.7,0.25
2,UNIFIED-FIXED,154.53565,148.5,217.3,0.0
2,UNIFIED-PACKED,155.7868,149.7,220.5,0.0
2,RANDOMIZED-PARTITION,131.32325,126.4,161.4,0.0
2,HYBRID-P,80.17775,77.2,108.1,0.3333333333333333
2,HYBRID-PH,23.875675,22.6,36.6,0.5
2,SCAN-PERMISSION,81.616675,78.8,110.0,0.25
2,SCAN-HISTORY,45.8441,44.3,63.0,0.16666666666666666
2,SCAN-BOTH,23.80915,22.6,36.7,0.16666666666666666
