regime,architecture,profile,rtt_ms,bandwidth_mbps,modeled_serial_ms,modeled_parallel_ms
S,NAIVE-FIXED,LOCAL,0.005,10000,0.36397440000000003,0.3589744
S,NAIVE-FIXED,DATACENTER,0.2,2000,2.231872,2.031872
S,NAIVE-FIXED,REMOTE,5.0,200,33.67072,28.67072
S,CANONICAL-MODULAR,LOCAL,0.005,10000,0.36397440000000003,0.3589744
S,CANONICAL-MODULAR,DATACENTER,0.2,2000,2.231872,2.031872
S,CANONICAL-MODULAR,REMOTE,5.0,200,33.67072,28.67072
S,UNIFIED-FIXED,LOCAL,0.005,10000,0.9340752000000001,0.9340752000000001
S,UNIFIED-FIXED,DATACENTER,0.2,2000,4.979376,4.979376
S,UNIFIED-FIXED,REMOTE,5.0,200,58.30776,58.30776
S,UNIFIED-PACKED,LOCAL,0.005,10000,0.8554320000000001,0.8554320000000001
S,UNIFIED-PACKED,DATACENTER,0.2,2000,4.5861600000000005,4.5861600000000005
S,UNIFIED-PACKED,REMOTE,5.0,200,54.3756,54.3756
S,HYBRID-P,LOCAL,0.005,10000,0.3344208,0.3294208
S,HYBRID-P,DATACENTER,0.2,2000,1.9811040000000002,1.7811040000000002
S,HYBRID-P,REMOTE,5.0,200,28.325039999999998,23.325039999999998
S,HYBRID-PH,LOCAL,0.005,10000,0.2589296,0.2589296
S,HYBRID-PH,DATACENTER,0.2,2000,1.397648,1.397648
S,HYBRID-PH,REMOTE,5.0,200,16.814480000000003,16.814480000000003
S,SCAN-PERMISSION,LOCAL,0.005,10000,0.347528,0.347528
S,SCAN-PERMISSION,DATACENTER,0.2,2000,2.04664,2.04664
S,SCAN-PERMISSION,REMOTE,5.0,200,28.9804,28.9804
S,SCAN-HISTORY,LOCAL,0.005,10000,0.3933408,0.3983408
S,SCAN-HISTORY,DATACENTER,0.2,2000,2.172704,2.372704
S,SCAN-HISTORY,REMOTE,5.0,200,27.40304,32.403040000000004
S,SCAN-BOTH,LOCAL,0.005,10000,0.3768944,0.3868944
S,SCAN-BOTH,DATACENTER,0.2,2000,1.987472,2.387472
S,SCAN-BOTH,REMOTE,5.0,200,22.71272,32.712720000000004
M,NAIVE-FIXED,LOCAL,0.005,10000,0.5106112,0.5056112
M,NAIVE-FIXED,DATACENTER,0.2,2000,2.9650559999999997,2.765056
M,NAIVE-FIXED,REMOTE,5.0,200,41.00256,36.00256
M,CANONICAL-MODULAR,LOCAL,0.005,10000,0.5106112,0.5056112
M,CANONICAL-MODULAR,DATACENTER,0.2,2000,2.9650559999999997,2.765056
M,CANONICAL-MODULAR,REMOTE,5.0,200,41.00256,36.00256
M,UNIFIED-FIXED,LOCAL,0.005,10000,1.248648,1.248648
M,UNIFIED-FIXED,DATACENTER,0.2,2000,6.552240000000001,6.552240000000001
M,UNIFIED-FIXED,REMOTE,5.0,200,74.0364,74.0364
M,UNIFIED-PACKED,LOCAL,0.005,10000,1.248648,1.248648
M,UNIFIED-PACKED,DATACENTER,0.2,2000,6.552240000000001,6.552240000000001
M,UNIFIED-PACKED,REMOTE,5.0,200,74.0364,74.0364
M,HYBRID-P,LOCAL,0.005,10000,0.4786,0.4736
M,HYBRID-P,DATACENTER,0.2,2000,2.702,2.502
M,HYBRID-P,REMOTE,5.0,200,35.534000000000006,30.534
M,HYBRID-PH,LOCAL,0.005,10000,0.3900016,0.3900016
M,HYBRID-PH,DATACENTER,0.2,2000,2.0530079999999997,2.0530079999999997
M,HYBRID-PH,REMOTE,5.0,200,23.36808,23.36808
M,SCAN-PERMISSION,LOCAL,0.005,10000,0.5834576,0.5834576
M,SCAN-PERMISSION,DATACENTER,0.2,2000,3.226288,3.226288
M,SCAN-PERMISSION,REMOTE,5.0,200,40.776880000000006,40.776880000000006
M,SCAN-HISTORY,LOCAL,0.005,10000,2.0997344,2.1047344000000003
M,SCAN-HISTORY,DATACENTER,0.2,2000,10.704672,10.904672
M,SCAN-HISTORY,REMOTE,5.0,200,112.72272,117.72272
M,SCAN-BOTH,LOCAL,0.005,10000,2.1725807999999995,2.1825807999999998
M,SCAN-BOTH,DATACENTER,0.2,2000,10.965904,11.365904
M,SCAN-BOTH,REMOTE,5.0,200,112.49704,122.49704
L,NAIVE-FIXED,LOCAL,0.005,10000,0.6089152,0.6039152
L,NAIVE-FIXED,DATACENTER,0.2,2000,3.456576,3.2565760000000004
L,NAIVE-FIXED,REMOTE,5.0,200,45.91776,40.91776
L,CANONICAL-MODULAR,LOCAL,0.005,10000,0.6089152,0.6039152
L,CANONICAL-MODULAR,DATACENTER,0.2,2000,3.456576,3.2565760000000004
L,CANONICAL-MODULAR,REMOTE,5.0,200,45.91776,40.91776
L,UNIFIED-FIXED,LOCAL,0.005,10000,1.5632207999999999,1.5632207999999999
L,UNIFIED-FIXED,DATACENTER,0.2,2000,8.125104,8.125104
L,UNIFIED-FIXED,REMOTE,5.0,200,89.76504,89.76504
L,UNIFIED-PACKED,LOCAL,0.005,10000,1.4845776,1.4845776
L,UNIFIED-PACKED,DATACENTER,0.2,2000,7.731888,7.731888
L,UNIFIED-PACKED,REMOTE,5.0,200,85.83288,85.83288
L,HYBRID-P,LOCAL,0.005,10000,0.5736272000000001,0.5686272000000001
L,HYBRID-P,DATACENTER,0.2,2000,3.177136,2.977136
L,HYBRID-P,REMOTE,5.0,200,40.28536,35.28536
L,HYBRID-PH,LOCAL,0.005,10000,0.46864480000000003,0.46864480000000003
L,HYBRID-PH,DATACENTER,0.2,2000,2.446224,2.446224
L,HYBRID-PH,REMOTE,5.0,200,27.300240000000002,27.300240000000002
L,SCAN-PERMISSION,LOCAL,0.005,10000,2.2513488,2.2513488
L,SCAN-PERMISSION,DATACENTER,0.2,2000,11.565744,11.565744
L,SCAN-PERMISSION,REMOTE,5.0,200,124.17144,124.17144
L,SCAN-HISTORY,LOCAL,0.005,10000,54.191024,54.196024
L,SCAN-HISTORY,DATACENTER,0.2,2000,271.16112,271.36112
L,SCAN-HISTORY,REMOTE,5.0,200,2717.2872,2722.2872
L,SCAN-BOTH,LOCAL,0.005,10000,55.8334576,55.8434576
L,SCAN-BOTH,DATACENTER,0.2,2000,279.27028799999994,279.67028799999997
L,SCAN-BOTH,REMOTE,5.0,200,2795.54088,2805.54088
H,NAIVE-FIXED,LOCAL,0.005,10000,0.5917119999999999,0.5867119999999999
H,NAIVE-FIXED,DATACENTER,0.2,2000,3.3705600000000002,3.17056
H,NAIVE-FIXED,REMOTE,5.0,200,45.05760000000001,40.05760000000001
H,CANONICAL-MODULAR,LOCAL,0.005,10000,0.5917119999999999,0.5867119999999999
H,CANONICAL-MODULAR,DATACENTER,0.2,2000,3.3705600000000002,3.17056
H,CANONICAL-MODULAR,REMOTE,5.0,200,45.05760000000001,40.05760000000001
H,UNIFIED-FIXED,LOCAL,0.005,10000,1.4845776,1.4845776
H,UNIFIED-FIXED,DATACENTER,0.2,2000,7.731888,7.731888
H,UNIFIED-FIXED,REMOTE,5.0,200,85.83288,85.83288
