architecture,split,accuracy_mean,accuracy_std,auc_mean,auc_std,permutation_mean,privacy
MODULAR-ORAM,random,1.0,0.0,1.0,0.0,0.5105555555555555,leak
MODULAR-ORAM,grouped_entity,1.0,0.0,1.0,0.0,0.5104109672310682,leak
NAIVE-FIXED,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
NAIVE-FIXED,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
CANONICAL-MODULAR,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
CANONICAL-MODULAR,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
UNIFIED-FIXED,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
UNIFIED-FIXED,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
UNIFIED-PACKED,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
UNIFIED-PACKED,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
RANDOMIZED-PARTITION,random,0.5036111111111111,0.01157370369777759,0.5039054888487802,0.01391615053224177,0.5075,not_implemented
RANDOMIZED-PARTITION,grouped_entity,0.5047419729942979,0.015379188072744611,0.4988492790107452,0.016117478702909947,0.5046118769349983,not_implemented
HYBRID-P,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
HYBRID-P,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
HYBRID-PH,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
HYBRID-PH,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
SCAN-PERMISSION,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
SCAN-PERMISSION,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
SCAN-HISTORY,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
SCAN-HISTORY,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
SCAN-BOTH,random,0.49333333333333335,0.0011785113019775802,0.5,0.0,0.49333333333333335,pass
SCAN-BOTH,grouped_entity,0.4895042831480862,0.005174206635348209,0.5,0.0,0.4841131394665366,pass
