mix,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
read_heavy,CANONICAL-MODULAR,pass,2.45,2.45,408,117.675,481996.8,277854720,53248,24576,78080,0.25,3,3,44.775000000000006,7.9994840801886795,107.58857142857143,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
read_heavy,UNIFIED-FIXED,pass,2.45,2.45,360,294.0,1204224.0,536854528,53248,24576,77824,0,3,3,44.775000000000006,15.456132075471698,268.8,unified:13312,unified:4096,unified:14
read_heavy,UNIFIED-PACKED,pass,2.45,2.45,360.0,294.0,1204224.0,536854528,34012,24576,58588,0,3,3,44.775000000000006,15.456132075471698,268.8,packed-pages:8503,packed:4096,unified-packed:14
read_heavy,RANDOMIZED-PARTITION,not_implemented,2.45,4.9,576.0,470.40000000000003,1926758.4000000001,536739840,102036,24576,126612,0,5,5,89.55000000000001,15.452830188679245,430.08000000000004,packed-pages:8503,packed:4096,8 partitions:11
read_heavy,HYBRID-P,pass,1.45,1.45,320,114.925,470732.8,276806656,49152,24576,204800,0.3333333333333333,2,2,26.499489795918368,7.969310141509434,105.07428571428571,data:8192;hist:4096,data:4096;hist:256,data:13;hist:12
read_heavy,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,1236992,0.5,1,1,18.275510204081634,7.7278301886792455,102.4,data:8192,data:4096,data:13
balanced,CANONICAL-MODULAR,pass,3.5,3.5,408,124.5,509952.0,277854720,53248,24576,78080,0.25,4,4,65.7,7.9994840801886795,113.82857142857142,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
balanced,UNIFIED-FIXED,pass,3.5,3.5,360,420.0,1720320.0,536854528,53248,24576,77824,0,4,4,65.7,15.456132075471698,384.0,unified:13312,unified:4096,unified:14
balanced,UNIFIED-PACKED,pass,3.5,3.5,360.0,420.0,1720320.0,536854528,34012,24576,58588,0,4,4,65.7,15.456132075471698,384.0,packed-pages:8503,packed:4096,unified-packed:14
balanced,RANDOMIZED-PARTITION,not_implemented,3.5,7.0,576.0,672.0,2752512.0,536739840,102036,24576,126612,0,7,7,131.4,15.452830188679245,614.4,packed-pages:8503,packed:4096,8 partitions:11
balanced,HYBRID-P,pass,2.5,2.5,320,121.75,498688.0,276806656,49152,24576,204800,0.3333333333333333,3,3,46.92857142857143,7.969310141509434,111.31428571428572,data:8192;hist:4096,data:4096;hist:256,data:13;hist:12
balanced,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,1236992,0.5,1,1,18.771428571428572,7.7278301886792455,102.4,data:8192,data:4096,data:13
write_heavy,CANONICAL-MODULAR,pass,5,5,408,134.25,549888,277854720,53248,24576,78080,0.25,5,5,95.4,7.9994840801886795,122.74285714285715,data:8192;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:12
write_heavy,UNIFIED-FIXED,pass,5,5,360,600.0,2457600,536854528,53248,24576,77824,0,5,5,95.4,15.456132075471698,548.5714285714286,unified:13312,unified:4096,unified:14
write_heavy,UNIFIED-PACKED,pass,5,5,360.0,600.0,2457600,536854528,34012,24576,58588,0,5,5,95.4,15.456132075471698,548.5714285714286,packed-pages:8503,packed:4096,unified-packed:14
write_heavy,RANDOMIZED-PARTITION,not_implemented,5,10,576.0,960.0,3932160,536739840,102036,24576,126612,0,10,10,190.8,15.452830188679245,877.7142857142857,packed-pages:8503,packed:4096,8 partitions:11
write_heavy,HYBRID-P,pass,4,4,320,131.5,538624,276806656,49152,24576,204800,0.3333333333333333,4,4,76.32000000000001,7.969310141509434,120.22857142857143,data:8192;hist:4096,data:4096;hist:256,data:13;hist:12
write_heavy,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,1236992,0.5,1,1,19.080000000000002,7.7278301886792455,102.4,data:8192,data:4096,data:13
