data_record_bytes,permission_record_bytes,history_record_bytes,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
512,64,64,MODULAR-ORAM,leak,3,3,300.0,10.8125,44288.0,36173312,53248,3072,56320,0,3,3,54,7.999433876811594,69.2,data:8192;perm:1024;hist:4096,data:512;perm:64;hist:64,data:13;perm:10;hist:12
512,64,64,NAIVE-FIXED,pass,4,4,408,18.625,76288,36173312,53248,3072,56576,0.25,4,3,72,7.999433876811594,119.2,data:8192;perm:1024;hist:4096,data:512;perm:64;hist:64,data:13;perm:10;hist:12
512,64,64,CANONICAL-MODULAR,pass,4,4,408,18.625,76288,36173312,53248,3072,56576,0.25,4,3,72,7.999433876811594,119.2,data:8192;perm:1024;hist:4096,data:512;perm:64;hist:64,data:13;perm:10;hist:12
512,64,64,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,14.840126811594203,288.0,unified:13312,unified:512,unified:14
512,64,64,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,5092,3072,8164,0,3,3,54.0,14.83695652173913,1843.2,packed-pages:1273,packed:4096,unified-packed:11
512,64,64,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,432.0,432.0,1769472.0,66977792,15276,3072,18348,0,6,6,108.0,14.81159420289855,2764.8,packed-pages:1273,packed:4096,8 partitions:8
512,64,64,HYBRID-P,pass,3,3,320,17.25,70656,35649280,49152,3072,117760,0.3333333333333333,3,2,54,7.883548460144928,110.4,data:8192;hist:4096,data:512;hist:64,data:13;hist:12
512,64,64,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,3072,363520,0.5,1,1,18,7.419836956521739,89.6,data:8192,data:512,data:13
512,64,64,SCAN-PERMISSION,pass,3,3,320,33.25,136192,35714816,49152,3072,52224,0.25,3,3,54,7.898041213768116,212.8,data:8192;hist:4096;perm-scan:1024,data:512;hist:64;perm:64,data:13;hist:12;perm:scan
512,64,64,SCAN-HISTORY,pass,2,2,200,143.375,587264,34338560,36864,3072,39936,0.3333333333333333,2,3,36,7.593693387681159,917.6,data:8192;perm:1024;hist-scan:4096,data:512;perm:64;hist:64,data:13;perm:10;hist:scan
512,64,64,SCAN-BOTH,pass,1,1,112,158.0,647168,33880064,32768,3072,35840,0.3333333333333333,1,3,18,7.492300724637682,1011.2,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:64;hist:64,data:13;perm:scan;hist:scan
512,64,256,MODULAR-ORAM,leak,3,3,300.0,18.125,74240.0,42464000,53248,3072,56320,0,3,3,54,7.999373070987654,89.23076923076923,data:8192;perm:1024;hist:4096,data:512;perm:64;hist:256,data:13;perm:10;hist:12
512,64,256,NAIVE-FIXED,pass,4,4,408,28.375,116224,42464000,53248,3072,56576,0.25,4,3,72,7.999373070987654,139.69230769230768,data:8192;perm:1024;hist:4096,data:512;perm:64;hist:256,data:13;perm:10;hist:12
512,64,256,CANONICAL-MODULAR,pass,4,4,408,28.375,116224,42464000,53248,3072,56576,0.25,4,3,72,7.999373070987654,139.69230769230768,data:8192;perm:1024;hist:4096,data:512;perm:64;hist:256,data:13;perm:10;hist:12
512,64,256,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,12.64158950617284,221.53846153846155,unified:13312,unified:512,unified:14
512,64,256,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,5864,3072,8936,0,3,3,54.0,12.63888888888889,1417.8461538461538,packed-pages:1466,packed:4096,unified-packed:11
