data_security_ratio,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
1,MODULAR-ORAM,leak,3,3,296.0,64.5,264192.0,143636992,36864,24576,61440,0,3,3,54,7.999002052919708,58.97142857142857,data:4096;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:12;perm:10;hist:12
1,NAIVE-FIXED,pass,4,4,400,119.75,490496,143636992,36864,24576,61696,0.25,4,3,72,7.999002052919708,109.48571428571428,data:4096;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:12;perm:10;hist:12
1,CANONICAL-MODULAR,pass,4,4,400,119.75,490496,143636992,36864,24576,61696,0.25,4,3,72,7.999002052919708,109.48571428571428,data:4096;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:12;perm:10;hist:12
1,UNIFIED-FIXED,pass,3,3,360,360.0,1474560,536854528,36864,24576,61440,0,3,3,54,29.896897810218977,329.14285714285717,unified:9216,unified:4096,unified:14
1,UNIFIED-PACKED,pass,3.0,3.0,336.0,336.0,1376256.0,268419072,17628,24576,42204,0,3,3,54.0,14.947992700729927,307.2,packed-pages:4407,packed:4096,unified-packed:13
1,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,528.0,528.0,2162688.0,268304384,52884,24576,77460,0,6,6,108.0,14.941605839416058,482.74285714285713,packed-pages:4407,packed:4096,8 partitions:10
1,HYBRID-P,pass,3,3,312,117.0,479232,142588928,32768,24576,188416,0.3333333333333333,3,2,54,7.940636405109489,106.97142857142858,data:4096;hist:4096,data:4096;hist:256,data:12;hist:12
1,HYBRID-PH,pass,1,1,104,104.0,425984,134201344,16384,24576,1220608,0.5,1,1,18,7.473540145985401,95.08571428571429,data:4096,data:4096,data:12
1,SCAN-PERMISSION,pass,3,3,312,149.0,610304,142720000,32768,24576,57344,0.25,3,3,54,7.947935675182482,136.22857142857143,data:4096;hist:4096;perm-scan:1024,data:4096;hist:256;perm:128,data:12;hist:12;perm:scan
1,SCAN-HISTORY,pass,2,2,192,618.75,2534400,136297984,20480,24576,45056,0.3333333333333333,2,3,36,7.590299954379562,565.7142857142857,data:4096;perm:1024;hist-scan:4096,data:4096;perm:128;hist:256,data:12;perm:10;hist:scan
1,SCAN-BOTH,pass,1,1,104,648.0,2654208,135380992,16384,24576,40960,0.3333333333333333,1,3,18,7.539233576642336,592.4571428571429,data:4096;perm-scan:1024;hist-scan:4096,data:4096;perm:128;hist:256,data:12;perm:scan;hist:scan
4,MODULAR-ORAM,leak,3,3,304.0,72.5,296960.0,546290176,86016,24576,110592,0,3,3,54,7.999737583973128,66.28571428571429,data:16384;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:14;perm:10;hist:12
4,NAIVE-FIXED,pass,4,4,416,135.75,556032,546290176,86016,24576,110848,0.25,4,3,72,7.999737583973128,124.11428571428571,data:16384;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:14;perm:10;hist:12
4,CANONICAL-MODULAR,pass,4,4,416,135.75,556032,546290176,86016,24576,110848,0.25,4,3,72,7.999737583973128,124.11428571428571,data:16384;perm:1024;hist:4096,data:4096;perm:128;hist:256,data:14;perm:10;hist:12
4,UNIFIED-FIXED,pass,3,3,384,384.0,1572864,1073725440,86016,24576,110592,0,3,3,54,15.723368522072937,351.0857142857143,unified:21504,unified:4096,unified:15
4,UNIFIED-PACKED,pass,3.0,3.0,384.0,384.0,1572864.0,1073725440,66780,24576,91356,0,3,3,54.0,15.723368522072937,351.0857142857143,packed-pages:16695,packed:4096,unified-packed:15
4,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,624.0,624.0,2555904.0,1073610752,200340,24576,224916,0,6,6,108.0,15.72168905950096,570.5142857142857,packed-pages:16695,packed:4096,8 partitions:12
4,HYBRID-P,pass,3,3,328,133.0,544768,545242112,81920,24576,237568,0.3333333333333333,3,2,54,7.984389995201536,121.6,data:16384;hist:4096,data:4096;hist:256,data:14;hist:12
4,HYBRID-PH,pass,1,1,120,120.0,491520,536854528,65536,24576,1269760,0.5,1,1,18,7.8615642994241846,109.71428571428571,data:16384,data:4096,data:14
4,SCAN-PERMISSION,pass,3,3,328,165.0,675840,545373184,81920,24576,106496,0.25,3,3,54,7.9863093809980805,150.85714285714286,data:16384;hist:4096;perm-scan:1024,data:4096;hist:256;perm:128,data:14;hist:12;perm:scan
