budget_mib,regime,permission_bytes,permission_history_bytes,hybrid_fit,lowest_bytes_architecture,lowest_bytes_action
1,S,16384,81920,HYBRID-PH,HYBRID-PH,294912
1,M,131072,1179648,HYBRID-P,HYBRID-P,512000
1,L,2097152,35651584,neither,NAIVE-FIXED,646144
1,H,65536,2162688,HYBRID-P,HYBRID-P,614400
4,S,16384,81920,HYBRID-PH,HYBRID-PH,294912
4,M,131072,1179648,HYBRID-PH,HYBRID-PH,458752
4,L,2097152,35651584,HYBRID-P,HYBRID-P,630784
4,H,65536,2162688,HYBRID-PH,HYBRID-PH,557056
16,S,16384,81920,HYBRID-PH,HYBRID-PH,294912
16,M,131072,1179648,HYBRID-PH,HYBRID-PH,458752
16,L,2097152,35651584,HYBRID-P,HYBRID-P,630784
16,H,65536,2162688,HYBRID-PH,HYBRID-PH,557056
64,S,16384,81920,HYBRID-PH,HYBRID-PH,294912
64,M,131072,1179648,HYBRID-PH,HYBRID-PH,458752
64,L,2097152,35651584,HYBRID-PH,HYBRID-PH,557056
64,H,65536,2162688,HYBRID-PH,HYBRID-PH,557056
256,S,16384,81920,HYBRID-PH,HYBRID-PH,294912
256,M,131072,1179648,HYBRID-PH,HYBRID-PH,458752
256,L,2097152,35651584,HYBRID-PH,HYBRID-PH,557056
256,H,65536,2162688,HYBRID-PH,HYBRID-PH,557056
