level,history_records,architecture,wire_bytes_action,history_sync_bytes,history_sync_rtts,trusted_cache_bytes,end_to_end_ms,correct
initial,10,FIXED-CANONICAL-MODULAR,299622,0,0,0,92.1723,True
initial,10,UNIFIED-ORAM,618591,0,0,0,103.2562,True
initial,10,HYBRID-P,288154,0,0,512,90.3864,True
initial,10,HYBRID-PH,237929,4057,1,4096,65.2431,True
10x,100,FIXED-CANONICAL-MODULAR,299635,0,0,0,84.8432,True
10x,100,UNIFIED-ORAM,618604,0,0,0,119.5075,True
10x,100,HYBRID-P,288166,0,0,640,80.9106,True
10x,100,HYBRID-PH,268310,34422,1,30080,100.4641,True
100x,1000,FIXED-CANONICAL-MODULAR,299654,0,0,0,48.1235,True
100x,1000,UNIFIED-ORAM,618615,0,0,0,109.7509,True
100x,1000,HYBRID-P,288186,0,0,768,84.1713,True
100x,1000,HYBRID-PH,573127,339227,1,286464,216.9817,True
