category,update_cycles_per_100_actions,architecture,action_wire_bytes,amortized_admin_bytes_action,total_wire_bytes_action,end_to_end_ms,freshness_rtts,correct
rare,1,FIXED-CANONICAL-MODULAR,299365,5.2,299370.2,41.2477,0,True
moderate,5,FIXED-CANONICAL-MODULAR,299423,26.64,299449.64,89.0588,0,True
frequent,20,FIXED-CANONICAL-MODULAR,299421,107.04,299528.04,54.4783,0,True
rare,1,UNIFIED-ORAM,618539,4.92,618543.92,78.8478,0,True
moderate,5,UNIFIED-ORAM,618572,25.24,618597.24,111.196,0,True
frequent,20,UNIFIED-ORAM,618572,101.44,618673.44,108.8924,0,True
rare,1,HYBRID-P,287897,4.8,287901.8,66.5965,1,True
moderate,5,HYBRID-P,287953,24.64,287977.64,50.0935,1,True
frequent,20,HYBRID-P,287953,99.04,288052.04,86.2335,1,True
rare,1,HYBRID-PH,234656,4.84,234660.84,67.3538,1,True
moderate,5,HYBRID-PH,234704,24.84,234728.84,26.6805,1,True
frequent,20,HYBRID-PH,234705,99.84,234804.84,99.5563,1,True
