profile,architecture,privacy,sample,status,end_to_end_ms,mediator_ms,planner_mediator_ms,planner_mediator_bytes,authorization_ms,private_resolution_ms,oram_compute_ms,freshness_ms,history_sync_ms,tool_ms,wire_bytes,wire_payload_bytes,wire_framing_bytes,private_wire_bytes,permission_wire_bytes,history_wire_bytes,unified_wire_bytes,tool_wire_bytes,remote_requests,logical_oram_bytes,freshness_rtts,history_sync_rtts,trusted_cache_bytes,dummy_fraction
LOCAL-LAN,DIRECT-MODULAR,fail,0,ALLOW,64.4035,51.9398,53.1284,1869,1.4471,19.9409,0.43770000000000003,0,0,15.8093,4677,4645,32,1804,599,442,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,1,ALLOW,51.833,36.2578,37.6468,1856,16.9836,17.9502,0.4426,0,0,16.1529,4677,4645,32,1804,599,442,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,2,ALLOW,39.1991,33.3347,35.6642,1853,22.9649,26.1454,0.437,0,0,3.6385,4677,4645,32,1804,599,442,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,3,ALLOW,50.7142,28.4798,48.039,2115,15.1332,16.4994,0.511,0,0,3.6088,5797,5757,40,1804,599,1562,0,1832,5,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,4,ALLOW,90.8395,52.1692,67.6554,1854,1.909,20.1148,0.3976,0,0,15.9959,4677,4645,32,1804,599,442,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,5,ALLOW,65.9655,33.2354,51.533,1854,2.3725,3.5427,0.4395,0,0,14.4115,4677,4645,32,1804,599,442,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,6,ALLOW,21.4299,19.4159,20.2907,2116,1.6464,2.0628,0.2006,0,0,13.9929,5795,5755,40,1803,599,1561,0,1832,5,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,7,ALLOW,51.0594,22.652,39.3096,1853,17.2451,18.6404,0.4094,0,0,2.5643,4677,4645,32,1804,599,442,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,8,ALLOW,45.3843,41.9252,44.3247,1864,2.1625,25.89,0.42419999999999997,0,0,1.417,4681,4649,32,1804,599,446,0,1832,4,0,0,0,0,0
LOCAL-LAN,DIRECT-MODULAR,fail,9,ALLOW,46.4518,31.1135,31.884,2130,1.7082,3.2127,0.26080000000000003,0,0,10.9709,5800,5760,40,1804,599,1565,0,1832,5,0,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,0,ALLOW,81.9304,52.42,68.0875,1924,15.7006,16.3145,0.21980000000000002,0,0,20.1841,272061,272029,32,231210,11900,27095,0,1856,4,267264,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,1,ALLOW,83.7091,50.8098,67.5611,2181,17.1506,20.6194,0.257,0,0,12.0624,299853,299813,40,231210,11900,54887,0,1856,5,293888,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,2,ALLOW,67.1808,52.6473,53.3591,2196,15.4108,20.3633,0.5055999999999999,0,0,14.7809,299854,299814,40,231210,11900,54888,0,1856,5,293888,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,3,ALLOW,82.8373,50.2245,69.2125,2180,1.8273,6.8856,0.4236,0,0,14.7742,299854,299814,40,231210,11900,54888,0,1856,5,293888,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,4,ALLOW,26.449,10.0961,25.1743,1908,2.4146,6.1711,0.5052,0,0,1.8242,272061,272029,32,231210,11900,27095,0,1856,4,267264,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,5,ALLOW,29.2878,26.5457,28.7629,1920,1.431,21.6336,0.20410000000000003,0,0,1.8651,272061,272029,32,231210,11900,27095,0,1856,4,267264,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,6,ALLOW,51.0338,38.161,39.2867,1925,13.8438,19.1127,0.5366000000000001,0,0,14.2076,272061,272029,32,231210,11900,27095,0,1856,4,267264,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,7,ALLOW,36.3847,31.0031,33.0704,1909,2.5821,25.7354,0.5165,0,0,3.1498,272061,272029,32,231210,11900,27095,0,1856,4,267264,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,8,ALLOW,37.5102,15.6272,36.6266,2177,1.2983,5.3122,0.3712,0,0,3.8954,299857,299817,40,231210,11900,54891,0,1856,5,293888,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,9,ALLOW,16.4745,13.7802,15.4713,1920,2.0113,6.9987,0.39809999999999995,0,0,4.1973,272065,272033,32,231210,11900,27099,0,1856,4,267264,0,0,0,0
LOCAL-LAN,FIXED-CANONICAL-MODULAR,pass,0,ALLOW,62.3536,35.626,51.6599,2172,2.2169,6.058,0.7456,0,0,1.82,299819,299779,40,231206,11897,54860,0,1856,5,293888,0,0,0,0.0
LOCAL-LAN,FIXED-CANONICAL-MODULAR,pass,1,ALLOW,82.3957,51.2597,69.4866,2182,1.9929,19.7619,0.3082,0,0,11.6482,299837,299797,40,231206,11896,54879,0,1856,5,293888,0,0,0,0.2
LOCAL-LAN,FIXED-CANONICAL-MODULAR,pass,2,ALLOW,51.1343,36.9946,37.6824,2191,1.5766,20.3201,0.38570000000000004,0,0,2.8156,299838,299798,40,231206,11896,54880,0,1856,5,293888,0,0,0,0.0
LOCAL-LAN,FIXED-CANONICAL-MODULAR,pass,3,ALLOW,25.4083,10.6309,11.9101,2189,1.7403,5.4887,0.24930000000000002,0,0,3.0536,299837,299797,40,231206,11896,54879,0,1856,5,293888,0,0,0,0.0
