profile,architecture,privacy,authorization,revocation,history_consistency,samples,trusted_bytes_client,trusted_cache_bytes,authoritative_remote_bytes,wire_bytes_action,wire_payload_bytes_action,wire_framing_bytes_action,planner_mediator_bytes_action,private_wire_bytes_action,permission_wire_bytes_action,history_wire_bytes_action,unified_wire_bytes_action,tool_wire_bytes_action,remote_requests_action,remote_rounds_action,logical_oram_bytes_action,mean_ms,p50_ms,p95_ms,p99_ms,oram_compute_ms,freshness_ms,history_sync_ms,freshness_rtts,history_sync_rtts,dummy_fraction
LOCAL-LAN,DIRECT-MODULAR,fail,pass,pass,pass,10,0,0,9568256,5013.5,4979.1,34.4,1936.4,1803.9,599,778.6,0,1832,4.3,3.5,0,52.72802,50.7142,65.9655,65.9655,0.39604,0,0,0,0,0
LOCAL-LAN,INDEPENDENT-MODULAR-ORAM,fail,pass,pass,pass,10,59648,0,9568256,283178.8,283143.6,35.2,2024,231210,11900,38212.8,0,1856,4.4,3.5,277913.6,51.27976,37.5102,82.8373,82.8373,0.39377,0,0,0,0,0
LOCAL-LAN,FIXED-CANONICAL-MODULAR,pass,pass,pass,pass,10,59648,0,9568256,299836.4,299796.4,40,2183.1,231206,11896.1,54878.3,0,1856,5,2,293888,57.700050000000005,56.2845,82.3957,82.3957,0.48591,0,0,0,0,0.1
LOCAL-LAN,UNIFIED-ORAM,pass,pass,pass,pass,10,59392,0,9568256,618729.5,618705.5,24,1603.2,0,0,0,616905.5,1824,3,2,614400,67.42998,59.4434,84.5568,84.5568,0.53121,0,0,0,0,0.09999999999999999
LOCAL-LAN,HYBRID-P,pass,pass,pass,pass,10,55424,128,9568256,288348.9,288308.9,40,2138.4,231166,588.1,54778.7,0,1816.1,5,2,282624,59.17085,48.5672,82.0248,82.0248,0.51107,4.08917,0,1,0,0.1
LOCAL-LAN,HYBRID-PH,pass,pass,pass,pass,10,40704,1792,9568256,234737.2,234697.2,40,2133.9,231170,592,1159.2,0,1816,5,2,229376,64.17518,62.3337,81.6813,81.6813,0.38764,6.3064,13.19892,1,1,0.060000000000000005
ENTERPRISE-DC,DIRECT-MODULAR,fail,pass,pass,pass,8,0,0,9568256,5146.125,5111.125,35,1964,1815.5,611,879.625,0,1840,4.375,3.5,0,52.7256875,36.4624,89.4143,89.4143,0.2962375,0,0,0,0,0
ENTERPRISE-DC,INDEPENDENT-MODULAR-ORAM,fail,pass,pass,pass,8,59648,0,9568256,292956.5,292918.5,38,2133.25,231218,11908.125,47962.375,0,1868,4.75,3.5,287232,76.4521125,69.5321,97.1842,97.1842,0.49826250000000005,0,0,0,0,0
ENTERPRISE-DC,FIXED-CANONICAL-MODULAR,pass,pass,pass,pass,8,59648,0,9568256,299894.375,299854.375,40,2197.25,231218,11908.125,54904.25,0,1864,5,2,293888,77.659975,69.8055,96.6966,96.6966,0.47313750000000004,0,0,0,0,0.125
ENTERPRISE-DC,UNIFIED-ORAM,pass,pass,pass,pass,8,59392,0,9568256,618764.375,618740.375,24,1618,0,0,0,616928.375,1836,3,2,614400,111.659775,115.4907,133.5825,133.5825,0.4140875,0,0,0,0,0.20833333333333331
ENTERPRISE-DC,HYBRID-P,pass,pass,pass,pass,8,55424,128,9568256,288406.625,288366.625,40,2147.25,231178,600,54804.625,0,1824,5,2,282624,72.90415,65.4168,88.8131,88.8131,0.4997125,13.0511625,0,1,0,0.07500000000000001
ENTERPRISE-DC,HYBRID-PH,pass,pass,pass,pass,8,40448,1536,9568256,234784.25,234744.25,40,2155.75,231178,600,1178.25,0,1828,5,2,229376,69.87072500000001,59.6144,93.2667,93.2667,0.4032125,8.8654375,16.386400000000002,1,1,0.125
REMOTE-CLOUD,DIRECT-MODULAR,fail,pass,pass,pass,5,0,0,9568256,5383.2,5346.4,36.8,2027,1811.8,607.2,1124.2,0,1840,4.6,3.5,0,127.7799,115.6808,132.9158,132.9158,0.36268,0,0,0,0,0
REMOTE-CLOUD,INDEPENDENT-MODULAR-ORAM,fail,pass,pass,pass,5,59648,0,9568256,283210.2,283175,35.2,2032.6,231218,11908,38220.2,0,1864,4.4,3.5,277913.6,193.28726,191.2901,199.574,199.574,0.4123,0,0,0,0,0
REMOTE-CLOUD,FIXED-CANONICAL-MODULAR,pass,pass,pass,pass,5,59648,0,9568256,299876.8,299836.8,40,2203.8,231214,11904,54894.8,0,1864,5,2,293888,182.2132,169.8932,201.2017,201.2017,0.45318,0,0,0,0,0.16
REMOTE-CLOUD,UNIFIED-ORAM,pass,pass,pass,pass,5,59392,0,9568256,618754.6,618730.6,24,1617.4,0,0,0,616922.4,1832.2,3,2,614400,221.06984,210.8175,243.5194,243.5194,0.40184000000000003,0,0,0,0,0.13333333333333333
REMOTE-CLOUD,HYBRID-P,pass,pass,pass,pass,5,55424,128,9568256,288389.4,288349.4,40,2152.6,231174,596,54795.4,0,1824,5,2,282624,167.34178,179.0342,185.6527,185.6527,0.50214,37.63166,0,1,0,0.12000000000000001
REMOTE-CLOUD,HYBRID-PH,pass,pass,pass,pass,5,40064,1152,9568256,234776.2,234736.2,40,2151.4,231178,600.2,1174,0,1824,5,2,229376,166.80384,167.7713,182.9634,182.9634,0.39734,24.87342,27.37546,1,1,0.08
