regime,architecture,privacy,wire_bytes_action,logical_oram_bytes_action,end_to_end_ms,remote_requests,trusted_bytes_client,status
SMALL,DIRECT-MODULAR,fail,3967,0,15.0908,5,0,ALLOW
SMALL,INDEPENDENT-MODULAR-ORAM,fail,103718,100352,28.2822,4,5888,ALLOW
SMALL,FIXED-CANONICAL-MODULAR,pass,122890,118784,36.9267,5,5888,ALLOW
SMALL,UNIFIED-ORAM,pass,228054,225280,82.3297,3,5632,ALLOW
SMALL,HYBRID-P,pass,114495,110592,54.0838,5,5248,ALLOW
SMALL,HYBRID-PH,pass,77642,73728,21.7941,5,4480,ALLOW
MEDIUM,DIRECT-MODULAR,fail,4625,0,58.1825,4,0,ALLOW
MEDIUM,INDEPENDENT-MODULAR-ORAM,fail,272001,267264,36.291,4,59648,ALLOW
MEDIUM,FIXED-CANONICAL-MODULAR,pass,299381,293888,35.1923,5,59648,ALLOW
MEDIUM,UNIFIED-ORAM,pass,618547,614400,62.9217,3,59392,ALLOW
MEDIUM,HYBRID-P,pass,287913,282624,18.9147,5,55424,ALLOW
MEDIUM,HYBRID-PH,pass,234664,229376,71.051,5,39296,ALLOW
LARGE,DIRECT-MODULAR,fail,14040,0,38.9468,5,0,ALLOW
LARGE,INDEPENDENT-MODULAR-ORAM,fail,1231654,1218560,51.2542,4,876800,ALLOW
LARGE,FIXED-CANONICAL-MODULAR,pass,1306470,1292288,37.0269,5,876800,ALLOW
LARGE,UNIFIED-ORAM,pass,3125294,3112960,129.894,3,876544,ALLOW
LARGE,HYBRID-P,pass,1275546,1261568,86.8678,5,811264,ALLOW
LARGE,HYBRID-PH,pass,1128097,1114112,43.6329,5,287488,ALLOW
HETEROGENEOUS,DIRECT-MODULAR,fail,13377,0,99.2381,5,0,ALLOW
HETEROGENEOUS,INDEPENDENT-MODULAR-ORAM,fail,1146489,1133568,83.3852,4,321792,ALLOW
HETEROGENEOUS,FIXED-CANONICAL-MODULAR,pass,1161421,1147904,56.0927,5,321792,ALLOW
HETEROGENEOUS,UNIFIED-ORAM,pass,2961517,2949120,61.1898,3,321536,ALLOW
HETEROGENEOUS,HYBRID-P,pass,1156098,1142784,64.3142,5,319552,ALLOW
HETEROGENEOUS,HYBRID-PH,pass,1127433,1114112,47.0994,5,286912,ALLOW
EQUAL-RECORD,DIRECT-MODULAR,fail,18170,0,55.6298,4,0,ALLOW
EQUAL-RECORD,INDEPENDENT-MODULAR-ORAM,fail,1492845,1474560,58.1463,4,41216,ALLOW
EQUAL-RECORD,FIXED-CANONICAL-MODULAR,pass,1891955,1867776,58.0163,5,41216,ALLOW
EQUAL-RECORD,UNIFIED-ORAM,pass,2142309,2129920,123.7862,3,40960,ALLOW
EQUAL-RECORD,HYBRID-P,pass,1531301,1507328,39.7659,5,40960,ALLOW
EQUAL-RECORD,HYBRID-PH,pass,744866,720896,54.2141,5,36864,ALLOW
