clients,architecture,privacy,wire_bytes_action,requests_action,mean_ms,p95_ms,trusted_cache_bytes,server_requests,all_allowed
1,DIRECT-MODULAR,fail,3148,4,51.2122,51.2122,0,4,True
1,INDEPENDENT-MODULAR-ORAM,fail,103623,4,69.1369,69.1369,0,4,True
1,FIXED-CANONICAL-MODULAR,pass,122774,5,35.221,35.221,0,5,True
1,UNIFIED-ORAM,pass,227982,3,83.3552,83.3552,0,3,True
1,HYBRID-P,pass,114379,5,52.2299,52.2299,128,5,True
1,HYBRID-PH,pass,77522,5,33.4843,33.4843,384,5,True
8,DIRECT-MODULAR,fail,3633.625,4.5,50.4579875,64.8233,0,36.0,True
8,INDEPENDENT-MODULAR-ORAM,fail,110948.875,4.375,45.2944625,55.3196,0,35.0,True
8,FIXED-CANONICAL-MODULAR,pass,123097.125,5,59.2393625,67.5936,0,40,True
8,UNIFIED-ORAM,pass,228087,3,36.3974125,45.6388,0,24,True
8,HYBRID-P,pass,114684.875,5,61.919925,74.4453,1152,40,True
8,HYBRID-PH,pass,78741.625,5,61.666700000000006,80.774,10624,40,True
32,DIRECT-MODULAR,fail,3677.25,4.46875,65.658253125,86.0785,0,143.0,True
32,INDEPENDENT-MODULAR-ORAM,fail,110349.46875,4.34375,63.1540125,86.058,0,139.0,True
32,FIXED-CANONICAL-MODULAR,pass,123167.25,5,59.306765625,83.4212,0,160,True
32,UNIFIED-ORAM,pass,228115.78125,3,69.84981875,85.2378,0,96,True
32,HYBRID-P,pass,114753,5,63.585309375,83.2886,5248,160,True
32,HYBRID-PH,pass,82985.46875,5,66.10979375,85.2445,149888,160,True
128,DIRECT-MODULAR,fail,3704.015625,4.484375,63.67788125,96.6034,0,574.0,True
128,INDEPENDENT-MODULAR-ORAM,fail,113740.0390625,4.515625,62.3281859375,89.4563,0,578.0,True
128,FIXED-CANONICAL-MODULAR,pass,123192.0546875,5,59.4656734375,83.0987,0,640,True
128,UNIFIED-ORAM,pass,228135.6484375,3,62.87252734375,84.7896,0,384,True
128,HYBRID-P,pass,114777.171875,5,58.851871875,83.5313,21632,640,True
128,HYBRID-PH,pass,99991.8046875,5,63.933859375,90.3377,2279808,640,True
