regime,architecture,authoritative_remote_bytes,trusted_proxy_one_client,data_count,permission_count,history_count,data_record_bytes,permission_record_bytes,history_record_bytes
SMALL,DIRECT-MODULAR,212992,128,256,128,256,512,128,256
SMALL,INDEPENDENT-MODULAR-ORAM,212992,6016,256,128,256,512,128,256
SMALL,FIXED-CANONICAL-MODULAR,212992,6016,256,128,256,512,128,256
SMALL,UNIFIED-ORAM,212992,5760,256,128,256,512,128,256
SMALL,HYBRID-P,212992,5248,256,128,256,512,128,256
SMALL,HYBRID-PH,212992,69760,256,128,256,512,128,256
MEDIUM,DIRECT-MODULAR,9568256,128,8192,1024,4096,1024,128,256
MEDIUM,INDEPENDENT-MODULAR-ORAM,9568256,59776,8192,1024,4096,1024,128,256
MEDIUM,FIXED-CANONICAL-MODULAR,9568256,59776,8192,1024,4096,1024,128,256
MEDIUM,UNIFIED-ORAM,9568256,59520,8192,1024,4096,1024,128,256
MEDIUM,HYBRID-P,9568256,55424,8192,1024,4096,1024,128,256
MEDIUM,HYBRID-PH,9568256,1087616,8192,1024,4096,1024,128,256
LARGE,DIRECT-MODULAR,339738624,256,65536,16384,131072,4096,256,512
LARGE,INDEPENDENT-MODULAR-ORAM,339738624,877056,65536,16384,131072,4096,256,512
LARGE,FIXED-CANONICAL-MODULAR,339738624,877056,65536,16384,131072,4096,256,512
LARGE,UNIFIED-ORAM,339738624,876800,65536,16384,131072,4096,256,512
LARGE,HYBRID-P,339738624,811264,65536,16384,131072,4096,256,512
LARGE,HYBRID-PH,339738624,67395840,65536,16384,131072,4096,256,512
HETEROGENEOUS,DIRECT-MODULAR,269516800,64,65536,512,8192,4096,64,128
HETEROGENEOUS,INDEPENDENT-MODULAR-ORAM,269516800,321856,65536,512,8192,4096,64,128
HETEROGENEOUS,FIXED-CANONICAL-MODULAR,269516800,321856,65536,512,8192,4096,64,128
HETEROGENEOUS,UNIFIED-ORAM,269516800,321600,65536,512,8192,4096,64,128
HETEROGENEOUS,HYBRID-P,269516800,319552,65536,512,8192,4096,64,128
HETEROGENEOUS,HYBRID-PH,269516800,1335360,65536,512,8192,4096,64,128
EQUAL-RECORD,DIRECT-MODULAR,16777216,4096,1024,1024,2048,4096,4096,4096
EQUAL-RECORD,INDEPENDENT-MODULAR-ORAM,16777216,45312,1024,1024,2048,4096,4096,4096
EQUAL-RECORD,FIXED-CANONICAL-MODULAR,16777216,45312,1024,1024,2048,4096,4096,4096
EQUAL-RECORD,UNIFIED-ORAM,16777216,45056,1024,1024,2048,4096,4096,4096
EQUAL-RECORD,HYBRID-P,16777216,40960,1024,1024,2048,4096,4096,4096
EQUAL-RECORD,HYBRID-PH,16777216,8421376,1024,1024,2048,4096,4096,4096
