architecture,clients,throughput_actions_s,mean_latency_ms,p95_latency_ms,mean_coordination_wait_ms,mean_oram_serialization_ms,invariants,coordination
FIXED-CANONICAL-MODULAR,1,17.835071955597805,53.3763,53.3763,0.0050999999999999995,53.348299999999995,pass,single trusted coordinator per ORAM domain
FIXED-CANONICAL-MODULAR,8,23.60860474621488,272.1899125,326.5815,197.0984875,75.05556250000001,pass,single trusted coordinator per ORAM domain
FIXED-CANONICAL-MODULAR,32,19.091692446914806,1226.0400625,1640.9519,1124.78848125,101.20146875,pass,single trusted coordinator per ORAM domain
UNIFIED-ORAM,1,7.5761995207296176,131.3889,131.3889,0.0071,131.3542,pass,single trusted coordinator per ORAM domain
UNIFIED-ORAM,8,7.080366585979989,1033.369625,1101.7366,892.312775,140.9962625,pass,single trusted coordinator per ORAM domain
UNIFIED-ORAM,32,7.564299202545576,3806.56549375,4157.823,3674.5094125,131.99306562499999,pass,single trusted coordinator per ORAM domain
HYBRID-P,1,16.170214142145884,61.4612,61.4612,0.0048000000000000004,61.435700000000004,pass,single trusted coordinator per ORAM domain
HYBRID-P,8,16.956653706131018,362.1080125,451.2383,283.831525,78.2278,pass,single trusted coordinator per ORAM domain
HYBRID-P,32,17.647119485502643,1368.513490625,1772.4022,1292.04866875,76.41768125,pass,single trusted coordinator per ORAM domain
HYBRID-PH,1,28.467805758467748,34.6661,34.6661,0.0019,34.6523,pass,single trusted coordinator per ORAM domain
HYBRID-PH,8,30.845276238727013,199.520575,242.0705,167.216475,32.2843375,pass,single trusted coordinator per ORAM domain
HYBRID-PH,32,30.88039424999339,780.954784375,992.1949,748.67470625,32.258009375,pass,single trusted coordinator per ORAM domain
