architecture,crash_point,recovery_semantics,recovered_value_correct,invariants,recovery_latency_ms,recovery_bytes,total_failure_path_ms,privacy_trace
FIXED-CANONICAL-MODULAR,before_path_read,rollback,True,pass,1.05,6903,3.4434,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,after_path_read,rollback,True,pass,0.9887,6903,3.2821,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,after_stash_update,rollback,True,pass,0.9541,6903,3.0466,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,after_logical_mutation,rollback,True,pass,1.0002,6903,2.9567,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,after_leaf_remap,rollback,True,pass,1.0595,6903,3.2109,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,during_eviction,rollback,True,pass,0.9551,6903,3.282,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,after_server_write_before_client_checkpoint,rollback,True,pass,1.139,6903,7.4248,full physical scan; no logical IDs
FIXED-CANONICAL-MODULAR,after_client_checkpoint_before_ack,complete,True,pass,1.0992,6903,9.6249,full physical scan; no logical IDs
UNIFIED-ORAM,before_path_read,rollback,True,pass,1.0154,6551,3.5051,full physical scan; no logical IDs
UNIFIED-ORAM,after_path_read,rollback,True,pass,0.9487,6551,3.3451,full physical scan; no logical IDs
UNIFIED-ORAM,after_stash_update,rollback,True,pass,0.9388,6551,3.0075,full physical scan; no logical IDs
UNIFIED-ORAM,after_logical_mutation,rollback,True,pass,1.0011,6551,3.8499,full physical scan; no logical IDs
UNIFIED-ORAM,after_leaf_remap,rollback,True,pass,0.9539,6551,3.4507,full physical scan; no logical IDs
UNIFIED-ORAM,during_eviction,rollback,True,pass,0.9561,6551,3.1689,full physical scan; no logical IDs
UNIFIED-ORAM,after_server_write_before_client_checkpoint,rollback,True,pass,1.0757,6551,6.8245,full physical scan; no logical IDs
UNIFIED-ORAM,after_client_checkpoint_before_ack,complete,True,pass,2.3719,6551,12.5759,full physical scan; no logical IDs
HYBRID-P,before_path_read,rollback,True,pass,1.0125,6423,3.332,full physical scan; no logical IDs
HYBRID-P,after_path_read,rollback,True,pass,0.9658,6423,3.2835,full physical scan; no logical IDs
HYBRID-P,after_stash_update,rollback,True,pass,0.9203,6423,3.4408,full physical scan; no logical IDs
HYBRID-P,after_logical_mutation,rollback,True,pass,0.9734,6423,3.0722,full physical scan; no logical IDs
HYBRID-P,after_leaf_remap,rollback,True,pass,0.981,6423,3.177,full physical scan; no logical IDs
HYBRID-P,during_eviction,rollback,True,pass,0.9447,6423,3.8486,full physical scan; no logical IDs
HYBRID-P,after_server_write_before_client_checkpoint,rollback,True,pass,1.0516,6423,6.5941,full physical scan; no logical IDs
HYBRID-P,after_client_checkpoint_before_ack,complete,True,pass,1.1421,6423,10.1503,full physical scan; no logical IDs
HYBRID-PH,before_path_read,rollback,True,pass,0.9906,6455,3.29,full physical scan; no logical IDs
HYBRID-PH,after_path_read,rollback,True,pass,0.9766,6455,3.2692,full physical scan; no logical IDs
HYBRID-PH,after_stash_update,rollback,True,pass,1.009,6455,3.7043,full physical scan; no logical IDs
HYBRID-PH,after_logical_mutation,rollback,True,pass,0.9978,6455,3.2481,full physical scan; no logical IDs
HYBRID-PH,after_leaf_remap,rollback,True,pass,1.0324,6455,3.3564,full physical scan; no logical IDs
HYBRID-PH,during_eviction,rollback,True,pass,1.0586,6455,3.3946,full physical scan; no logical IDs
HYBRID-PH,after_server_write_before_client_checkpoint,rollback,True,pass,1.1695,6455,6.6176,full physical scan; no logical IDs
HYBRID-PH,after_client_checkpoint_before_ack,complete,True,pass,1.2065,6455,9.9296,full physical scan; no logical IDs
