analysis,secret,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
full_trajectory,permission_missing,FIXED-CANONICAL,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.5499551952676953,0.025576209797548845
full_trajectory,permission_missing,FIXED-CANONICAL,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.471668415622983,0.004809345792451467
full_trajectory,permission_missing,FIXED-CANONICAL,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.4975412643222506,0.0014067725553728652
full_trajectory,permission_missing,FIXED-CANONICAL,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.5572336381472917,0.01968872895855982
full_trajectory,permission_missing,FIXED-CANONICAL,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4708002475349145,0.014315995111414402
full_trajectory,permission_missing,FIXED-CANONICAL,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.5130677674347641,0.005716133400123414
full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,cross_policy,accuracy,1.0,0.0,0.5,0.5154143310393311,0.010592135505268368
full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,cross_policy,macro_f1,1.0,0.0,0.5,0.4903312488363249,0.001715050386836447
full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,cross_policy,roc_auc,1.0,0.0,0.5,0.4974218177500872,0.0014346276866727876
full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,grouped_entity,accuracy,1.0,0.0,0.5,0.5241398640599818,0.009073570829289236
full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,grouped_entity,macro_f1,1.0,0.0,0.5,0.4928197404172916,0.0008356693836875293
full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,grouped_entity,roc_auc,1.0,0.0,0.5,0.5097968806256262,0.006265620399269068
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.5365989334739335,0.01536347681780961
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.4827092662845416,0.005731518748176629
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.49670237619322344,0.0008419192058121397
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.5485403090182889,0.014229438315869508
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4799934096182257,0.009431914409768706
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.5082449511153683,0.0044309645924755885
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,accuracy,1.0,0.0,0.5,0.5175352136289636,0.006389954976712742
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,macro_f1,1.0,0.0,0.5,0.49521266504240735,0.0051606185750711665
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,roc_auc,1.0,0.0,0.5,0.4960323149898294,0.003752362921257908
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,accuracy,1.0,0.0,0.5,0.5240106684885432,0.008240051206037349
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,macro_f1,1.0,0.0,0.5,0.496103977243634,0.002787689779263237
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,roc_auc,1.0,0.0,0.5,0.5104458406925446,0.00819324980006275
full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,accuracy,1.0,0.0,0.5,0.5407929454804454,0.016883007660083077
full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,macro_f1,1.0,0.0,0.5,0.4907863806180288,0.002230570329763332
full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,roc_auc,1.0,0.0,0.5,0.4996480818999245,0.0029551652093344075
full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,grouped_entity,accuracy,1.0,0.0,0.5,0.5543278326676476,0.008963965528116019
full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4948326237854712,0.012760944220435357
full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,grouped_entity,roc_auc,1.0,0.0,0.5,0.5168546118987433,0.006667572572157228
