seed,analysis,secret,variant,feature_level,split,metric,value,chance,permutation
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.4671052631578947
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.4609608322755806
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.47672969391719394
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.4947916666666667
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.46790107042843476
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.49453554204322153
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,accuracy,1.0,0.5,0.5162037037037037
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,macro_f1,1.0,0.5,0.41122159230739336
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,roc_auc,1.0,0.5,0.49853120735473677
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,accuracy,1.0,0.5,0.46875
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,macro_f1,1.0,0.5,0.4602576130848463
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,roc_auc,1.0,0.5,0.4621219925907426
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,accuracy,1.0,0.5,0.4895833333333333
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,macro_f1,1.0,0.5,0.4608850343928139
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,roc_auc,1.0,0.5,0.5053361682799449
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,accuracy,1.0,0.5,0.5231481481481481
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,macro_f1,1.0,0.5,0.46961239835905577
0,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,roc_auc,1.0,0.5,0.5088721129315492
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5356514084507042
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.49419171488650365
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5095739309762971
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5264880952380953
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.4973179719369057
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.5009361282145431
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,accuracy,1.0,0.5,0.5686619718309859
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,macro_f1,1.0,0.5,0.4666585870158292
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,roc_auc,1.0,0.5,0.5069057000923936
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,accuracy,1.0,0.5,0.5571428571428572
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,macro_f1,1.0,0.5,0.4746527027122877
0,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,roc_auc,1.0,0.5,0.4975282041838948
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.46546052631578944
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.4577325761566995
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.47672969391719394
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.4947916666666667
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.46790107042843476
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.49324895970195165
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,accuracy,1.0,0.5,0.5115740740740741
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,macro_f1,1.0,0.5,0.3980862901095912
0,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,roc_auc,1.0,0.5,0.49853120735473677
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,accuracy,1.0,0.5,0.4621710526315789
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,macro_f1,1.0,0.5,0.45156842478174
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,roc_auc,1.0,0.5,0.45861720744533246
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,accuracy,1.0,0.5,0.48333333333333334
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,macro_f1,1.0,0.5,0.4541907545176289
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,roc_auc,1.0,0.5,0.48793125535687937
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,accuracy,1.0,0.5,0.5138888888888888
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,macro_f1,1.0,0.5,0.46043286828693863
0,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,roc_auc,1.0,0.5,0.47880396484869525
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5374119718309859
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.49616740925074454
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5086545982239845
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5318452380952381
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.5010883624885212
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.4990205579786149
