analysis,secret,variant,class0_n,class1_n,class0_mean_events,class1_mean_events,class0_mean_bytes,class1_mean_bytes,class0_mean_duration_us,class1_mean_duration_us,class0_unique_sequences,class1_unique_sequences,sequence_jaccard,deterministic_shape_distinction
mediation_only,requires_history,ORIGINAL-MEDIATOR,89,73,4,4,2053.4606741573034,2052.4931506849316,36677.229213483144,41590.6,2,2,0.0,True
full_trajectory,permission_missing,ORIGINAL-MEDIATOR,371,229,4,8,2053.0053908355794,4104.379912663755,39868.36819407008,79796.27161572053,8,8,0.0,True
mediation_only,requires_history,PER-SERVICE-ORAM,89,73,4,4,2012.2247191011236,2011.054794520548,39431.51011235955,40479.11780821918,2,2,0.0,True
full_trajectory,permission_missing,PER-SERVICE-ORAM,371,229,4,8,2011.7816711590297,4021.943231441048,41010.667115902965,82620.17947598253,8,8,0.0,True
mediation_only,requires_history,UNIFIED-OBLIVIOUS,89,73,4,4,2009.1460674157304,2009.3013698630136,37548.144943820225,44201.88493150685,2,2,1.0,False
full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,371,229,4,8,2009.22102425876,4017.877729257642,40244.114016172505,83260.83231441048,4,4,0.0,True
mediation_only,requires_history,FIXED-CANONICAL,89,73,6,6,3010.224719101124,3010.5068493150684,60355.06853932584,65691.3191780822,2,2,1.0,False
full_trajectory,permission_missing,FIXED-CANONICAL,371,229,6,12,3010.355795148248,6019.9257641921395,60357.101078167114,121344.86244541485,4,4,0.0,True
mediation_only,requires_history,TRUSTED-LOCAL,89,73,1,1,513.4606741573034,513.4931506849315,9743.122471910112,9387.919178082191,2,2,1.0,False
full_trajectory,permission_missing,TRUSTED-LOCAL,371,229,1,2,513.4878706199461,1026.480349344978,9721.40269541779,20444.570305676854,4,4,0.0,True
