scenario,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.0,0.5,0.4921907553486501,0.002420985101749262
AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.0,0.5,0.48922002192585357,0.002579004821441203
AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.0,0.5,0.49141648604232085,0.005594207361891833
AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.0,0.5,0.5067708333333334,0.004500514373894383
AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.0,0.5,0.47873662936425737,0.011590618191772886
AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.0,0.5,0.48733660130718953,0.012311789260768398
AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.0,0.5,0.47943147225495425,0.011407373776026008
AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.0,0.5,0.5026408110384124,0.012972629235595489
AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.0,0.5,0.4921907553486501,0.002420985101749262
AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.0,0.5,0.48922002192585357,0.002579004821441203
AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.0,0.5,0.49141648604232085,0.005594207361891833
AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.0,0.5,0.5067708333333334,0.004500514373894383
AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.0,0.5,0.47873662936425737,0.011590618191772886
AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
