seed,scenario,variant,private_branch,episodes,mean_private_operations,mean_dummy_operations,dummy_fraction,mean_oram_accesses,mean_wire_bytes,mean_visible_rounds,mean_latency_us,mean_effect_latency_us,mean_trusted_state_bytes
0,AUTHORIZATION,B0-NATURAL,0,80,3,0,0.0,0,2304,3,46.1925,37.07625,544
0,AUTHORIZATION,B0-NATURAL,1,80,6,0,0.0,0,3713,5,627.47625,618.2625,544
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,214.5175,140.675,548
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,1,80,6,9,0.6,15,7362,5,930.705,851.77,544
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,363.5,285.1875,544
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,1,80,6,9,0.6,15,7362,5,901.19625,824.9075,544.8
0,PROVENANCE,B0-NATURAL,0,80,3,0,0.0,0,2311,3,39.615,30.775,544
0,PROVENANCE,B0-NATURAL,1,80,5,0,0.0,0,3245,4,49.19875,40.365,544
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,201.9125,131.6875,544
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,1,80,5,7,0.5833333333333334,12,5982,4,276.0825,200.9125,544.8
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,344.66625,270.63125,544
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,1,80,5,10,0.6666666666666666,15,7362,5,348.37125,270.51,546.4
0,EXTRA_VERIFICATION,B0-NATURAL,0,80,3,0,0.0,0,2304,3,38.83625,30.04125,544
0,EXTRA_VERIFICATION,B0-NATURAL,1,80,4,0,0.0,0,2773,4,44.275,35.04625,544
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,206.22,134.69125,546.4
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,1,80,4,8,0.6666666666666666,12,5982,4,272.5575,199.0,545.6
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,352.33375,275.575,544
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,1,80,4,11,0.7333333333333333,15,7362,5,353.2725,278.40875,544
1,AUTHORIZATION,B0-NATURAL,0,80,3,0,0.0,0,2304,3,42.10125,33.1375,544
1,AUTHORIZATION,B0-NATURAL,1,80,6,0,0.0,0,3713,5,575.2475000000001,566.1025,544
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,208.48375,134.8625,544
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,1,80,6,9,0.6,15,7362,5,882.80625,801.2925,544.8
1,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,350.89,274.0875,544
1,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,1,80,6,9,0.6,15,7362,5,881.7675,805.36875,544
1,PROVENANCE,B0-NATURAL,0,80,3,0,0.0,0,2311,3,40.0125,31.12375,544
1,PROVENANCE,B0-NATURAL,1,80,5,0,0.0,0,3245,4,49.0025,40.23375,544
1,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,0,80,3,6,0.6666666666666666,9,4602,3,204.945,136.24375,544
1,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,1,80,5,7,0.5833333333333334,12,5982,4,269.125,196.17625,544.8
1,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,0,80,3,12,0.8,15,7362,5,352.2125,275.6975,544.8
