seed,scenario,variant,feature_level,split,metric,value,chance,permutation
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.4739583333333333
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.47075172870192067
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.49107872306487954
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.4956140350877193
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.49258533309046426
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.4940565005043736
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5005208333333333
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.47040811760151613
0,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.4739583333333333
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.47075172870192067
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.49107872306487954
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.4956140350877193
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.49258533309046426
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.4940565005043736
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.5005208333333333
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.47040811760151613
0,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.4822916666666667
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.47690516528831955
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.48995689174214635
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.4934210526315789
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.48926671193261284
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.491798453124375
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5005208333333333
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.47040811760151613
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.46041666666666664
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.4583810282921397
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.4546669950436098
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.46875
