seed,scenario,variant,class0_unique_signatures,class1_unique_signatures,structural_sets_equal,structural_sets_disjoint,signature_jaccard
0,AUTHORIZATION,B0-NATURAL,2,2,False,True,0.0
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
0,PROVENANCE,B0-NATURAL,2,2,False,True,0.0
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
0,EXTRA_VERIFICATION,B0-NATURAL,2,2,False,True,0.0
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
1,AUTHORIZATION,B0-NATURAL,2,2,False,True,0.0
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
1,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
1,PROVENANCE,B0-NATURAL,2,2,False,True,0.0
1,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
1,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
1,EXTRA_VERIFICATION,B0-NATURAL,2,2,False,True,0.0
1,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
1,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
2,AUTHORIZATION,B0-NATURAL,2,2,False,True,0.0
2,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
2,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
2,PROVENANCE,B0-NATURAL,2,2,False,True,0.0
2,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
2,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
2,EXTRA_VERIFICATION,B0-NATURAL,2,2,False,True,0.0
2,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,2,2,False,True,0.0
2,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,2,2,True,False,1.0
