seed,scenario,variant,metric,value,chance,permutation,scope
0,AUTHORIZATION,B0-NATURAL,raw_latency_auc,1.0,0.5,0.50390380859375,OUT_OF_SCOPE
0,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,1.0,0.5,0.5012451171875,OUT_OF_SCOPE
0,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,1.0,0.5,0.50119140625,OUT_OF_SCOPE
0,PROVENANCE,B0-NATURAL,raw_latency_auc,0.97203125,0.5,0.5005322265625,OUT_OF_SCOPE
0,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,0.983671875,0.5,0.5056005859375,OUT_OF_SCOPE
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,0.5290625,0.5,0.48721435546874997,OUT_OF_SCOPE
0,EXTRA_VERIFICATION,B0-NATURAL,raw_latency_auc,0.938828125,0.5,0.49509765625,OUT_OF_SCOPE
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,0.981328125,0.5,0.49251220703125,OUT_OF_SCOPE
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,0.50296875,0.5,0.4989453125,OUT_OF_SCOPE
1,AUTHORIZATION,B0-NATURAL,raw_latency_auc,1.0,0.5,0.48767578125,OUT_OF_SCOPE
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,1.0,0.5,0.486640625,OUT_OF_SCOPE
1,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,1.0,0.5,0.48232177734375,OUT_OF_SCOPE
1,PROVENANCE,B0-NATURAL,raw_latency_auc,0.94828125,0.5,0.4953564453125,OUT_OF_SCOPE
1,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,0.96671875,0.5,0.48786865234375,OUT_OF_SCOPE
1,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,0.4921875,0.5,0.50026123046875,OUT_OF_SCOPE
1,EXTRA_VERIFICATION,B0-NATURAL,raw_latency_auc,0.96296875,0.5,0.47784423828125,OUT_OF_SCOPE
1,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,0.99421875,0.5,0.47743896484375,OUT_OF_SCOPE
1,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,0.59234375,0.5,0.5007421875,OUT_OF_SCOPE
2,AUTHORIZATION,B0-NATURAL,raw_latency_auc,1.0,0.5,0.49825439453125,OUT_OF_SCOPE
2,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,1.0,0.5,0.50627197265625,OUT_OF_SCOPE
2,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,1.0,0.5,0.5004443359375,OUT_OF_SCOPE
2,PROVENANCE,B0-NATURAL,raw_latency_auc,0.9578125,0.5,0.50623779296875,OUT_OF_SCOPE
2,PROVENANCE,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,0.99234375,0.5,0.50056640625,OUT_OF_SCOPE
2,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,0.626484375,0.5,0.5066552734375,OUT_OF_SCOPE
2,EXTRA_VERIFICATION,B0-NATURAL,raw_latency_auc,0.906484375,0.5,0.49788330078125,OUT_OF_SCOPE
2,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,raw_latency_auc,0.96796875,0.5,0.4952490234375,OUT_OF_SCOPE
2,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,raw_latency_auc,0.53765625,0.5,0.50079345703125,OUT_OF_SCOPE
