episode_token,family,label,real_actions,real_heavy_ops
8755653093091472239,ACTION_TYPE,NOOP,1,0
683966375442223361,ACTION_TYPE,TOOL,1,1
667768797704829331,ACTION_TYPE,NOOP,1,0
6970846737580285943,ACTION_TYPE,TOOL,1,1
5736584935738376571,TOOL_CLASS,LOCAL,1,1
1780770782417926091,ACTION_TYPE,AGENT,1,0
7857571114336258333,TOOL_CLASS,REMOTE,1,1
1547173299288388093,TOOL_CLASS,LOCAL,1,1
8037315709324264443,ACTION_TYPE,TOOL,1,1
5363154393928896599,ACTION_TYPE,AGENT,1,0
1500367678405210003,TOOL_CLASS,CLOUD,1,1
7916453854397504551,TOOL_CLASS,LOCAL,1,1
4061468348858219755,TOOL_CLASS,LOCAL,1,1
6360811203326899727,ACTION_TYPE,LLM,1,1
6269201426531138571,ACTION_TYPE,LLM,1,1
725632807803624455,ACTION_TYPE,LLM,1,1
1350682764975530783,TOOL_CLASS,REMOTE,1,1
8991397287552862685,ACTION_TYPE,NOOP,1,0
7500910217212790623,ACTION_TYPE,LLM,1,1
1770612332394042431,ACTION_TYPE,TOOL,1,1
1993822698382304383,ACTION_TYPE,AGENT,1,0
4001165516028640061,ACTION_TYPE,AGENT,1,0
7367975204826611667,TOOL_CLASS,LOCAL,1,1
2101896724999841383,ACTION_TYPE,NOOP,1,0
3119623860127698217,TOOL_CLASS,LOCAL,1,1
7902365767808863597,TOOL_CLASS,REMOTE,1,1
8863329868595541737,TOOL_CLASS,CLOUD,1,1
6498533346052942001,TOOL_CLASS,CLOUD,1,1
6447449917501412785,TOOL_CLASS,CLOUD,1,1
2268326379212317117,TOOL_CLASS,REMOTE,1,1
4610421398245122571,ACTION_TYPE,AGENT,1,0
418637216715463227,ACTION_TYPE,LLM,1,1
8952389208456180985,ACTION_TYPE,NOOP,1,0
6083249747205099821,ACTION_TYPE,AGENT,1,0
1064039993112619493,ACTION_TYPE,TOOL,1,1
5773092542751393369,TOOL_CLASS,REMOTE,1,1
7232973331511193827,TOOL_CLASS,REMOTE,1,1
5201456295195814087,TOOL_CLASS,REMOTE,1,1
5630011876532042465,TOOL_CLASS,CLOUD,1,1
6937602273843758985,TOOL_CLASS,LOCAL,1,1
2572903096305284809,ACTION_TYPE,TOOL,1,1
2998727810552609257,ACTION_TYPE,TOOL,1,1
3328066800831130717,ACTION_TYPE,NOOP,1,0
8545535211900346341,TOOL_CLASS,CLOUD,1,1
772985404461627623,ACTION_TYPE,LLM,1,1
5421515249015312091,ACTION_TYPE,NOOP,1,0
1822925636215677523,ACTION_TYPE,TOOL,1,1
5017918681013289493,ACTION_TYPE,NOOP,1,0
1111523259342850791,ACTION_TYPE,LLM,1,1
8680092846647454489,ACTION_TYPE,LLM,1,1
6031762097583109271,TOOL_CLASS,CLOUD,1,1
1461668191192858159,ACTION_TYPE,AGENT,1,0
1528002735406471281,TOOL_CLASS,LOCAL,1,1
787374431908426287,TOOL_CLASS,CLOUD,1,1
1899803312055708805,TOOL_CLASS,REMOTE,1,1
5951988351581298277,ACTION_TYPE,AGENT,1,0
