episode_token,family,label,real_actions,real_heavy_ops
5391404914054904489,TOOL_SEQUENCE,TSEQ4,100,100
5491761493842032249,TOOL_SEQUENCE,TSEQ4,100,100
3451698716866255767,TOOL_SEQUENCE,TSEQ2,100,100
8046775504490273989,TOOL_SEQUENCE,TSEQ4,100,100
7405455282772346455,TOOL_SEQUENCE,TSEQ4,100,100
2516347469400926711,TOOL_SEQUENCE,TSEQ3,100,100
6266907976506968911,TOOL_SEQUENCE,TSEQ0,100,100
331216158265740293,TOOL_SEQUENCE,TSEQ2,100,100
4768113255295220135,TOOL_SEQUENCE,TSEQ3,100,100
7007075198116577373,TOOL_SEQUENCE,TSEQ4,100,100
1026856039021562573,TOOL_SEQUENCE,TSEQ2,100,100
673738541691831451,TOOL_SEQUENCE,TSEQ3,100,100
3238846569528894311,TOOL_SEQUENCE,TSEQ0,100,100
7173757564196736967,TOOL_SEQUENCE,TSEQ4,100,100
1116694833567564627,TOOL_SEQUENCE,TSEQ0,100,100
5993717308661093481,TOOL_SEQUENCE,TSEQ2,100,100
8357252383440787043,TOOL_SEQUENCE,TSEQ2,100,100
5522196771825374493,TOOL_SEQUENCE,TSEQ1,100,100
961051994946453477,TOOL_SEQUENCE,TSEQ0,100,100
5422070940258091821,TOOL_SEQUENCE,TSEQ1,100,100
6699452604121794481,TOOL_SEQUENCE,TSEQ3,100,100
1013406102111546825,TOOL_SEQUENCE,TSEQ3,100,100
4895905922955501709,TOOL_SEQUENCE,TSEQ1,100,100
4736177521786935563,TOOL_SEQUENCE,TSEQ3,100,100
1267598102441089195,TOOL_SEQUENCE,TSEQ1,100,100
8713562839754314469,TOOL_SEQUENCE,TSEQ1,100,100
6344250652696394867,TOOL_SEQUENCE,TSEQ0,100,100
1859347681852576179,TOOL_SEQUENCE,TSEQ2,100,100
6702693724301206363,TOOL_SEQUENCE,TSEQ1,100,100
8693294834095078445,TOOL_SEQUENCE,TSEQ0,100,100
