episode,round,index,class
M6-E01-9004,0,31,M6:REAL
M6-E01-9004,1,31,M6:REAL
M6-E01-9004,2,31,M6:REAL
M6-E01-9004,3,31,M6:REAL
M6-E01-9004,4,31,M6:REAL
M6-E01-9004,5,31,M6:REAL
M6-E01-9004,6,31,M6:REAL
M6-E01-9004,7,31,M6:REAL
M6-E01-9004,8,31,M6:REAL
M6-E01-9004,9,31,M6:REAL
M6-E01-9004,10,31,M6:REAL
M6-E01-9004,11,31,M6:REAL
M6-E01-9004,12,31,M6:REAL
M6-E01-9004,13,31,M6:REAL
M6-E01-9004,14,31,M6:REAL
M6-E01-9004,15,31,M6:REAL
M6-E01-9004,16,31,M6:REAL
M6-E01-9004,17,31,M6:REAL
M6-E01-9004,18,31,M6:REAL
M6-E01-9004,19,31,M6:REAL
M6-E01-9004,20,31,M6:REAL
M6-E01-9004,21,31,M6:REAL
M6-E01-9004,22,31,M6:REAL
M6-E01-9004,23,31,M6:REAL
M6-E01-9004,24,31,M6:REAL
M6-E01-9004,25,31,M6:REAL
M6-E01-9004,26,31,M6:REAL
M6-E01-9004,27,31,M6:REAL
M6-E01-9004,28,31,M6:REAL
M6-E01-9004,29,31,M6:REAL
M6-E01-9004,30,31,M6:REAL
M6-E01-9004,31,31,M6:REAL
M6-E01-9004,32,31,M6:REAL
M6-E01-9004,33,31,M6:REAL
M6-E01-9004,34,31,M6:REAL
M6-E01-9004,35,31,M6:REAL
M6-E01-9004,36,31,M6:REAL
M6-E01-9004,37,31,M6:REAL
M6-E01-9004,38,31,M6:REAL
M6-E01-9004,39,31,M6:REAL
M6-E01-9004,40,31,M6:REAL
M6-E01-9004,41,31,M6:REAL
M6-E01-9004,42,31,M6:REAL
M6-E01-9004,43,31,M6:REAL
M6-E01-9004,44,31,M6:REAL
M6-E01-9004,45,31,M6:REAL
M6-E01-9004,46,31,M6:REAL
M6-E01-9004,47,31,M6:REAL
M6-E01-9004,48,31,M6:REAL
M6-E01-9004,49,31,M6:REAL
M6-E01-9004,50,31,M6:REAL
M6-E01-9004,51,31,M6:REAL
M6-E01-9004,52,31,M6:REAL
M6-E01-9004,53,31,M6:REAL
M6-E01-9004,54,31,M6:REAL
M6-E01-9004,55,31,M6:REAL
M6-E01-9004,56,31,M6:REAL
M6-E01-9004,57,31,M6:REAL
M6-E01-9004,58,31,M6:REAL
M6-E01-9004,59,31,M6:REAL
M6-E01-9004,60,31,M6:REAL
M6-E01-9004,61,31,M6:REAL
M6-E01-9004,62,31,M6:REAL
M6-E01-9004,63,31,M6:REAL
M6-E01-9004,64,31,M6:REAL
M6-E01-9004,65,31,M6:REAL
M6-E01-9004,66,31,M6:REAL
M6-E01-9004,67,31,M6:REAL
M6-E01-9004,68,31,M6:REAL
M6-E01-9004,69,31,M6:REAL
M6-E01-9004,70,31,M6:REAL
M6-E01-9004,71,31,M6:REAL
M6-E01-9004,72,31,M6:REAL
M6-E01-9004,73,31,M6:REAL
M6-E01-9004,74,31,M6:REAL
M6-E01-9004,75,31,M6:REAL
M6-E01-9004,76,31,M6:REAL
M6-E01-9004,77,31,M6:REAL
M6-E01-9004,78,31,M6:REAL
M6-E01-9004,79,31,M6:REAL
M6-E01-9004,80,31,M6:REAL
M6-E01-9004,81,31,M6:REAL
