episode_token,family,label,real_actions,real_heavy_ops
7468434060922279697,ACTION_TYPE,TOOL,1,1
8892132505651037481,ACTION_TYPE,LLM,1,1
2020452142550616519,TOOL_CLASS,LOCAL,1,1
3366491298731192707,TOOL_CLASS,LOCAL,1,1
2984352508506680555,TOOL_CLASS,CLOUD,1,1
2841405384876834359,ACTION_TYPE,LLM,1,1
833593679251359935,TOOL_CLASS,REMOTE,1,1
2734651595901425881,TOOL_CLASS,CLOUD,1,1
7795366710462406597,ACTION_TYPE,AGENT,1,0
6669072643126904419,TOOL_CLASS,CLOUD,1,1
3981016014511899693,ACTION_TYPE,LLM,1,1
6401576114708828035,ACTION_TYPE,TOOL,1,1
3475901399882727479,ACTION_TYPE,AGENT,1,0
2685009280697267317,ACTION_TYPE,NOOP,1,0
577507832630354155,TOOL_CLASS,LOCAL,1,1
4637468277960847537,ACTION_TYPE,AGENT,1,0
6456119523317748879,TOOL_CLASS,REMOTE,1,1
2190274476063838679,ACTION_TYPE,NOOP,1,0
9122690003797449657,TOOL_CLASS,LOCAL,1,1
2217886288164419515,ACTION_TYPE,AGENT,1,0
163698857819366969,TOOL_CLASS,LOCAL,1,1
6870473106469049705,ACTION_TYPE,NOOP,1,0
314163516231890273,ACTION_TYPE,LLM,1,1
2547496066562491475,TOOL_CLASS,CLOUD,1,1
6997270848914730459,ACTION_TYPE,TOOL,1,1
9083196885228086345,ACTION_TYPE,TOOL,1,1
8264783849143600377,TOOL_CLASS,REMOTE,1,1
3134379337316260807,TOOL_CLASS,REMOTE,1,1
3177781642931352775,ACTION_TYPE,LLM,1,1
6348781848557303879,TOOL_CLASS,LOCAL,1,1
408512115934827211,TOOL_CLASS,LOCAL,1,1
4505977813265172177,ACTION_TYPE,NOOP,1,0
6750247892323703393,ACTION_TYPE,NOOP,1,0
9172037145716056225,ACTION_TYPE,AGENT,1,0
6608793795110767909,ACTION_TYPE,TOOL,1,1
2721754379179020281,TOOL_CLASS,REMOTE,1,1
248436069443649671,ACTION_TYPE,TOOL,1,1
6858664712520024191,TOOL_CLASS,REMOTE,1,1
2729075702265484949,ACTION_TYPE,LLM,1,1
6421774475332508025,ACTION_TYPE,NOOP,1,0
8642409002576303267,ACTION_TYPE,TOOL,1,1
4715941864429962767,ACTION_TYPE,TOOL,1,1
3030727382110846439,TOOL_CLASS,REMOTE,1,1
5777452522092768053,ACTION_TYPE,LLM,1,1
5197569283239843085,ACTION_TYPE,AGENT,1,0
5633916785459244567,TOOL_CLASS,LOCAL,1,1
1979654976546429583,ACTION_TYPE,AGENT,1,0
4719789928262261627,TOOL_CLASS,CLOUD,1,1
3961251836984334865,TOOL_CLASS,REMOTE,1,1
163008488121415953,ACTION_TYPE,NOOP,1,0
4412707282084960697,TOOL_CLASS,CLOUD,1,1
2308531244307127227,TOOL_CLASS,CLOUD,1,1
2333037645906670245,ACTION_TYPE,LLM,1,1
6375602464891158877,TOOL_CLASS,CLOUD,1,1
6923940164829319937,ACTION_TYPE,AGENT,1,0
3537905407110050947,ACTION_TYPE,NOOP,1,0
