episode,round,index,class
M1-E05-1004,0,17,M1:REAL
M1-E05-1004,1,17,M1:REAL
M1-E05-1004,2,17,M1:REAL
M1-E05-1004,3,17,M1:REAL
M1-E05-1004,4,17,M1:REAL
M1-E05-1004,5,17,M1:REAL
M1-E05-1004,6,17,M1:REAL
M1-E05-1004,7,17,M1:REAL
M1-E05-1004,8,17,M1:REAL
M1-E05-1004,9,17,M1:REAL
M1-E05-1004,10,17,M1:REAL
M1-E05-1004,11,17,M1:REAL
M1-E05-1004,12,17,M1:REAL
M1-E05-1004,13,17,M1:REAL
M1-E05-1004,14,17,M1:REAL
M1-E05-1004,15,17,M1:REAL
M1-E05-1004,16,17,M1:REAL
M1-E05-1004,17,17,M1:REAL
M1-E05-1004,18,17,M1:REAL
M1-E05-1004,19,17,M1:REAL
M1-E05-1004,20,17,M1:REAL
M1-E05-1004,21,17,M1:REAL
M1-E05-1004,22,17,M1:REAL
M1-E05-1004,23,17,M1:REAL
M1-E05-1004,24,17,M1:REAL
M1-E05-1004,25,17,M1:REAL
M1-E05-1004,26,17,M1:REAL
M1-E05-1004,27,17,M1:REAL
M1-E05-1004,28,17,M1:REAL
M1-E05-1004,29,17,M1:REAL
M1-E05-1004,30,17,M1:REAL
M1-E05-1004,31,17,M1:REAL
M1-E05-1004,32,17,M1:REAL
M1-E05-1004,33,17,M1:REAL
M1-E05-1004,34,17,M1:REAL
M1-E05-1004,35,17,M1:REAL
M1-E05-1004,36,17,M1:REAL
M1-E05-1004,37,17,M1:REAL
M1-E05-1004,38,17,M1:REAL
M1-E05-1004,39,17,M1:REAL
M1-E05-1004,40,17,M1:REAL
M1-E05-1004,41,17,M1:REAL
M1-E05-1004,42,17,M1:REAL
M1-E05-1004,43,17,M1:REAL
M1-E05-1004,44,17,M1:REAL
M1-E05-1004,45,17,M1:REAL
M1-E05-1004,46,17,M1:REAL
M1-E05-1004,47,17,M1:REAL
M1-E05-1004,48,17,M1:REAL
M1-E05-1004,49,17,M1:REAL
M1-E05-1004,50,17,M1:REAL
M1-E05-1004,51,17,M1:REAL
M1-E05-1004,52,17,M1:REAL
M1-E05-1004,53,17,M1:REAL
M1-E05-1004,54,17,M1:REAL
M1-E05-1004,55,17,M1:REAL
M1-E05-1004,56,17,M1:REAL
M1-E05-1004,57,17,M1:REAL
M1-E05-1004,58,17,M1:REAL
M1-E05-1004,59,17,M1:REAL
M1-E05-1004,60,17,M1:REAL
M1-E05-1004,61,17,M1:REAL
M1-E05-1004,62,17,M1:REAL
M1-E05-1004,63,17,M1:REAL
M1-E05-1004,64,17,M1:REAL
M1-E05-1004,65,17,M1:REAL
M1-E05-1004,66,17,M1:REAL
M1-E05-1004,67,17,M1:REAL
M1-E05-1004,68,17,M1:REAL
M1-E05-1004,69,17,M1:REAL
M1-E05-1004,70,17,M1:REAL
M1-E05-1004,71,17,M1:REAL
M1-E05-1004,72,17,M1:REAL
M1-E05-1004,73,17,M1:REAL
M1-E05-1004,74,17,M1:REAL
M1-E05-1004,75,17,M1:REAL
M1-E05-1004,76,17,M1:REAL
M1-E05-1004,77,17,M1:REAL
M1-E05-1004,78,17,M1:REAL
M1-E05-1004,79,17,M1:REAL
M1-E05-1004,80,17,M1:REAL
M1-E05-1004,81,17,M1:REAL
M1-E05-1004,82,17,M1:REAL
M1-E05-1004,83,17,M1:REAL
M1-E05-1004,84,17,M1:REAL
M1-E05-1004,85,17,M1:REAL
M1-E05-1004,86,17,M1:REAL
M1-E05-1004,87,17,M1:REAL
M1-E05-1004,88,23,M1:REAL
M1-E05-1004,89,17,M1:REAL
M1-E05-1004,90,17,M1:REAL
M1-E05-1004,91,17,M1:REAL
M1-E05-1004,92,17,M1:REAL
M1-E05-1004,93,17,M1:REAL
M1-E05-1004,94,17,M1:REAL
M1-E05-1004,95,17,M1:REAL
M1-E05-1004,96,17,M1:REAL
M1-E05-1004,97,17,M1:REAL
M1-E05-1004,98,17,M1:REAL
M1-E05-1004,99,17,M1:REAL
PIR_REAL_1-E04-1004,0,1009,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,1,1029,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,2,1026,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,3,1011,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,4,1010,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,5,1034,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,6,1008,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,7,1005,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,8,1045,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,9,1026,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,10,1042,PIR_REAL_1:DUMMY
PIR_REAL_1-E04-1004,11,1011,PIR_REAL_1:DUMMY
