episode_token,family,label,real_actions,real_heavy_ops
6590434144890302949,TOOL_CLASS,CLOUD,1,1
373999269021538633,ACTION_TYPE,LLM,1,1
991515776250324213,ACTION_TYPE,TOOL,1,1
4825332182134249645,TOOL_CLASS,REMOTE,1,1
1450917784633509441,ACTION_TYPE,LLM,1,1
1955833801896634327,TOOL_CLASS,REMOTE,1,1
3884676203469484999,ACTION_TYPE,NOOP,1,0
6182705469461453361,TOOL_CLASS,LOCAL,1,1
2485269889236343217,ACTION_TYPE,NOOP,1,0
5807997537047717663,TOOL_CLASS,CLOUD,1,1
3001806630037149951,ACTION_TYPE,NOOP,1,0
5068846066891861955,ACTION_TYPE,TOOL,1,1
5353586965337336913,ACTION_TYPE,AGENT,1,0
5534372964922438875,TOOL_CLASS,LOCAL,1,1
3312984176941851063,TOOL_CLASS,LOCAL,1,1
8749430682064464511,ACTION_TYPE,TOOL,1,1
6487794168939258273,TOOL_CLASS,REMOTE,1,1
8922458881787679633,TOOL_CLASS,CLOUD,1,1
8797882711896982601,ACTION_TYPE,AGENT,1,0
2370457608725597539,ACTION_TYPE,LLM,1,1
8763440940274865827,ACTION_TYPE,TOOL,1,1
2805246248105356729,ACTION_TYPE,NOOP,1,0
2437501512406733115,ACTION_TYPE,LLM,1,1
6112834169257802347,ACTION_TYPE,TOOL,1,1
6278609055295673639,TOOL_CLASS,CLOUD,1,1
7454906410517786833,TOOL_CLASS,REMOTE,1,1
3846284955368469275,ACTION_TYPE,LLM,1,1
1371237299243682747,TOOL_CLASS,LOCAL,1,1
543503499631930391,ACTION_TYPE,TOOL,1,1
7527435303825585843,ACTION_TYPE,NOOP,1,0
6548065125078400769,TOOL_CLASS,LOCAL,1,1
2227730821731176265,ACTION_TYPE,NOOP,1,0
5623950073017004563,TOOL_CLASS,CLOUD,1,1
9182438008977397991,TOOL_CLASS,CLOUD,1,1
2000733512377305449,TOOL_CLASS,REMOTE,1,1
5334483941769156211,ACTION_TYPE,AGENT,1,0
1960684374837435817,TOOL_CLASS,CLOUD,1,1
2172116171575482591,ACTION_TYPE,TOOL,1,1
1515304829271836623,TOOL_CLASS,CLOUD,1,1
600288358934970923,ACTION_TYPE,AGENT,1,0
7743187016160013101,ACTION_TYPE,LLM,1,1
8108980466583328211,ACTION_TYPE,LLM,1,1
6362448755536677595,TOOL_CLASS,REMOTE,1,1
2405873597014369727,ACTION_TYPE,AGENT,1,0
4751584733156022829,ACTION_TYPE,NOOP,1,0
8069130617023413593,TOOL_CLASS,REMOTE,1,1
7062022741272151503,TOOL_CLASS,REMOTE,1,1
4375297518896968833,ACTION_TYPE,AGENT,1,0
5995376718287065073,ACTION_TYPE,NOOP,1,0
2477851444331154027,ACTION_TYPE,TOOL,1,1
5870559634823180321,TOOL_CLASS,LOCAL,1,1
5531952747121768829,TOOL_CLASS,LOCAL,1,1
1445773149888889669,ACTION_TYPE,LLM,1,1
2863266575436936213,ACTION_TYPE,AGENT,1,0
3932956399125255273,TOOL_CLASS,LOCAL,1,1
2069653017712544101,ACTION_TYPE,AGENT,1,0
