case_id,framework,projection_equal,passed,session_status,admitted,delivered,rounds,client_connections,gateway_connections,http2,schedule_misses,pending,silent_committed_result_losses,dummy_heavy_ops,profile_overflow,max_launch_slip_ns,p95_launch_slip_ns,constant_deadlines,error
v111-sem-openai-0,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1172105,1057678,True,
v111-sem-openai-1,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1086414,1003835,True,
v111-sem-openai-2,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1087234,1058893,True,
v111-sem-openai-3,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1081918,1000065,True,
v111-sem-openai-4,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1074725,1033122,True,
v111-sem-openai-5,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1085050,1063910,True,
v111-sem-openai-6,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1083933,1072392,True,
v111-sem-microsoft-0,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1115677,1044716,True,
v111-sem-microsoft-1,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1082339,1039331,True,
v111-sem-microsoft-2,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1070817,1027673,True,
v111-sem-microsoft-3,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1085558,1050905,True,
v111-sem-microsoft-4,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1074634,1017479,True,
v111-sem-microsoft-5,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1068432,1003790,True,
v111-sem-microsoft-6,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1069198,1030501,True,
v111-sem-openai-aat,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1079951,997514,True,
v111-sem-microsoft-aat,Microsoft Agent Framework,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1085449,1048284,True,
v111-sem-openai-handoff,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,991674,866302,True,
v111-sem-tool-READ_ONLY-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1071855,1053775,True,
v111-sem-agent-READ_ONLY-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1077817,1040979,True,
v111-sem-tool-READ_ONLY-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1070352,1034850,True,
v111-sem-agent-READ_ONLY-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1073671,1036640,True,
v111-sem-tool-READ_ONLY-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1078466,1027379,True,
v111-sem-agent-READ_ONLY-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1093265,1037534,True,
v111-sem-tool-IDEMPOTENT_EFFECT-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1083983,1064168,True,
v111-sem-agent-IDEMPOTENT_EFFECT-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1198259,1044361,True,
v111-sem-tool-IDEMPOTENT_EFFECT-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1070347,1039106,True,
v111-sem-agent-IDEMPOTENT_EFFECT-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1078509,1035597,True,
v111-sem-tool-IDEMPOTENT_EFFECT-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1084034,1063586,True,
v111-sem-agent-IDEMPOTENT_EFFECT-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1081272,1030275,True,
v111-sem-tool-NON_IDEMPOTENT_EFFECT-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1080642,1011784,True,
v111-sem-agent-NON_IDEMPOTENT_EFFECT-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1078175,1041936,True,
v111-sem-tool-NON_IDEMPOTENT_EFFECT-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1082222,1042689,True,
v111-sem-agent-NON_IDEMPOTENT_EFFECT-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1032342,1014008,True,
v111-sem-tool-NON_IDEMPOTENT_EFFECT-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1055788,935343,True,
v111-sem-agent-NON_IDEMPOTENT_EFFECT-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1083396,997224,True,
v111-sem-external-SUCCESS,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1037133,991150,True,
v111-sem-external-ERROR,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1109312,1066142,True,
v111-sem-external-BOUNDED_TIMEOUT,OpenAI Agents SDK,True,True,COMPLETE,1,1,111,1,1,True,0,0,0,0,0,1063789,1018735,True,
