arm_a_error,arm_a_functional,arm_b_error,arm_b_functional,pair,passed,size_equal,structural_equal
,True,AssertionError: OpenAI online workflow produced 0 outcomes for 5 actions,False,AGENT_IDENTITY,False,True,True
,True,,True,TOOL_ROUTE,True,True,True
,True,,True,ACTION_KIND,True,True,True
,True,,True,ACTION_COUNT,True,True,True
,True,,True,REPETITION,True,True,True
,True,,True,FREQUENCY,True,True,True
,True,,True,RARE_TARGET,True,True,True
,True,,True,TRANSITION_PATTERN,True,True,True
,True,,True,ARGUMENT_LENGTH,True,True,True
,True,,True,PROVIDER_READINESS,True,True,True
,True,,True,INTERNAL_EXTERNAL,True,True,True
,True,,True,CAUSAL_DEPTH,True,True,True
