session,label,real_actions
0,FAST,1
1,FAST,1
2,FAST,1
3,FAST,1
4,FAST,1
5,FAST,1
6,FAST,1
7,FAST,1
8,FAST,1
9,FAST,1
10,FAST,1
11,FAST,1
12,FAST,1
13,FAST,1
14,FAST,1
15,FAST,1
16,FAST,1
17,FAST,1
18,FAST,1
19,FAST,1
20,FAST,1
21,FAST,1
22,FAST,1
23,FAST,1
24,FAST,1
25,FAST,1
26,FAST,1
27,FAST,1
28,FAST,1
29,FAST,1
30,FAST,1
31,FAST,1
32,FAST,1
33,FAST,1
34,FAST,1
35,FAST,1
36,FAST,1
37,FAST,1
38,FAST,1
39,FAST,1
40,FAST,1
41,FAST,1
42,FAST,1
43,FAST,1
44,FAST,1
45,FAST,1
46,FAST,1
47,FAST,1
48,FAST,1
49,FAST,1
