session,label,real_actions
0,MEDIUM,1
1,MEDIUM,1
2,MEDIUM,1
3,MEDIUM,1
4,MEDIUM,1
5,MEDIUM,1
6,MEDIUM,1
7,MEDIUM,1
8,MEDIUM,1
9,MEDIUM,1
10,MEDIUM,1
11,MEDIUM,1
12,MEDIUM,1
13,MEDIUM,1
14,MEDIUM,1
15,MEDIUM,1
16,MEDIUM,1
17,MEDIUM,1
18,MEDIUM,1
19,MEDIUM,1
20,MEDIUM,1
21,MEDIUM,1
22,MEDIUM,1
23,MEDIUM,1
24,MEDIUM,1
25,MEDIUM,1
26,MEDIUM,1
27,MEDIUM,1
28,MEDIUM,1
29,MEDIUM,1
30,MEDIUM,1
31,MEDIUM,1
32,MEDIUM,1
33,MEDIUM,1
34,MEDIUM,1
35,MEDIUM,1
36,MEDIUM,1
37,MEDIUM,1
38,MEDIUM,1
39,MEDIUM,1
40,MEDIUM,1
41,MEDIUM,1
42,MEDIUM,1
43,MEDIUM,1
44,MEDIUM,1
45,MEDIUM,1
46,MEDIUM,1
47,MEDIUM,1
48,MEDIUM,1
49,MEDIUM,1
