operation_id,stage,monotonic_ns,session,slot,detail
v7-functional-0,PACER_OBSERVED,8130673646735523,0,2,
v7-functional-4,PACER_OBSERVED,8130673647219821,0,2,
v7-functional-0,RESULT_CELL_SENT,8130673648136666,0,2,
v7-functional-8,PACER_OBSERVED,8130673656969254,0,3,
v7-functional-3,PACER_OBSERVED,8130673657529164,0,3,
v7-functional-4,RESULT_CELL_SENT,8130673658141288,0,3,
v7-functional-1,PACER_OBSERVED,8130673667013124,0,4,
v7-functional-5,PACER_OBSERVED,8130673667610642,0,4,
v7-functional-8,RESULT_CELL_SENT,8130673668441414,0,4,
v7-functional-3,RESULT_CELL_SENT,8130673678140666,0,5,
v7-functional-9,PACER_OBSERVED,8130673686822499,0,6,
v7-functional-1,RESULT_CELL_SENT,8130673688140338,0,6,
v7-functional-5,RESULT_CELL_SENT,8130673698140972,0,7,
v7-functional-9,RESULT_CELL_SENT,8130673708141229,0,8,
v7-functional-2,PACER_OBSERVED,8130673726845196,0,10,
v7-functional-2,RESULT_CELL_SENT,8130673728139929,0,10,
v7-functional-6,PACER_OBSERVED,8130673746939597,0,12,
v7-functional-6,RESULT_CELL_SENT,8130673748139444,0,12,
v7-functional-7,PACER_OBSERVED,8130673856797791,0,23,
v7-functional-7,RESULT_CELL_SENT,8130673858141845,0,23,
