category,arm,profile_id,public_maximum_real_operations,private_actual_real_actions,public_session_count,public_round_count,relay_event_count,request_bytes_unique,response_bytes_unique,provider_invocations,dummy_provider_operations,profile_overflow_events,delivered,missing,unexpected,functional
PUBLIC_CAPACITY_SWEEP,COUNT_1,V9_1-STRICT-H50-P1,50,1,1,111,111,1079,800,1,0,0,1,1,1,False
PUBLIC_CAPACITY_SWEEP,COUNT_5,V9_1-STRICT-H50-P1,50,5,1,111,111,1079,800,5,0,0,1,5,1,False
PUBLIC_CAPACITY_SWEEP,COUNT_10,V9_1-STRICT-H50-P1,50,10,1,111,111,1079,800,10,0,0,1,10,1,False
PUBLIC_CAPACITY_SWEEP,COUNT_25,V9_1-STRICT-H50-P1,50,25,1,111,111,1079,800,25,0,0,1,25,1,False
PUBLIC_CAPACITY_SWEEP,COUNT_50,V9_1-STRICT-H50-P1,50,50,1,111,111,1079,800,50,0,0,1,50,1,False
DIFFERENT_AGENT,AGENT_A,V9_1-STRICT-H50-P1,50,1,1,111,111,1079,800,1,0,0,1,0,0,True
DIFFERENT_AGENT,AGENT_B,V9_1-STRICT-H50-P1,50,1,1,111,111,1079,800,1,0,0,1,0,0,True
DIFFERENT_TOOL,TOOL_READ,V9_1-STRICT-H50-P1,50,8,1,111,111,1079,800,8,0,0,8,0,0,True
DIFFERENT_TOOL,EXTERNAL_HTTP,V9_1-STRICT-H50-P1,50,8,1,111,111,1079,800,8,0,0,1,8,1,False
DIFFERENT_ACTUAL_COUNT,LOW_COUNT,V9_1-STRICT-H50-P1,50,1,1,111,111,1079,800,1,0,0,1,1,1,False
DIFFERENT_ACTUAL_COUNT,HIGH_COUNT,V9_1-STRICT-H50-P1,50,50,1,111,111,1079,800,50,0,0,1,50,1,False
REPEATED_VS_VARIED_TARGET,REPEATED,V9_1-STRICT-H50-P1,50,20,1,111,111,1079,800,20,0,0,1,20,1,False
REPEATED_VS_VARIED_TARGET,VARIED,V9_1-STRICT-H50-P1,50,20,1,111,111,1079,800,20,0,0,1,20,1,False
DIFFERENT_COMPLETION_BEHAVIOR,FAST,V9_1-STRICT-H50-P1,50,10,1,111,111,1079,800,10,0,0,1,10,1,False
DIFFERENT_COMPLETION_BEHAVIOR,SLOW_JITTERED,V9_1-STRICT-H50-P1,50,10,1,111,111,1079,800,10,0,0,1,10,1,False
