field,classification,source,detail,source_file,source_function,line_start,active_strict_v9_1
profile_id,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Validated public grammar and H/public-capacity match,canonical_v9_1/profile.py,validate_profile_id,10,True
admission_rounds,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
maximum_real_operations,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
total_rounds,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
round_period_ms,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
provider_completion_bound_ms,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
terminal_rounds,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
session_count,USER_SELECTED_PRIVACY_PROFILE,strict_h50_profile,Selected before private actions,canonical_v9_1/profile.py,strict_h50_profile,141,True
scheduled_public_lifetime,PUBLIC_POLICY,total_rounds * round_period_ms,Derived only from public fields,canonical_v9_1/profile.py,strict_h50_profile,141,True
request_bhttp_bytes,PUBLIC_POLICY,strict_h50_profile,Frozen fixed-width OHTTP experiment policy,canonical_v9_1/profile.py,strict_h50_profile,141,True
response_bhttp_bytes,PUBLIC_POLICY,strict_h50_profile,Frozen fixed-width OHTTP experiment policy,canonical_v9_1/profile.py,strict_h50_profile,141,True
request_final_bytes,PUBLIC_POLICY,strict_h50_profile,Frozen fixed-width OHTTP experiment policy,canonical_v9_1/profile.py,strict_h50_profile,141,True
response_final_bytes,PUBLIC_POLICY,strict_h50_profile,Frozen fixed-width OHTTP experiment policy,canonical_v9_1/profile.py,strict_h50_profile,141,True
ohttp_key_id,CONSTANT_PUBLIC,strict_h50_profile,Public OHTTP suite/configuration epoch,canonical_v9_1/profile.py,strict_h50_profile,141,True
kem_id,CONSTANT_PUBLIC,strict_h50_profile,Public OHTTP suite/configuration epoch,canonical_v9_1/profile.py,strict_h50_profile,141,True
kdf_id,CONSTANT_PUBLIC,strict_h50_profile,Public OHTTP suite/configuration epoch,canonical_v9_1/profile.py,strict_h50_profile,141,True
aead_id,CONSTANT_PUBLIC,strict_h50_profile,Public OHTTP suite/configuration epoch,canonical_v9_1/profile.py,strict_h50_profile,141,True
config_epoch,CONSTANT_PUBLIC,strict_h50_profile,Public OHTTP suite/configuration epoch,canonical_v9_1/profile.py,strict_h50_profile,141,True
relay_endpoint_class,CONSTANT_PUBLIC,strict_h50_profile,Fixed local STRICT experiment deployment,canonical_v9_1/profile.py,strict_h50_profile,141,True
gateway_endpoint_class,CONSTANT_PUBLIC,strict_h50_profile,Fixed local STRICT experiment deployment,canonical_v9_1/profile.py,strict_h50_profile,141,True
connection_policy,CONSTANT_PUBLIC,strict_h50_profile,Fixed local STRICT experiment deployment,canonical_v9_1/profile.py,strict_h50_profile,141,True
scheduled_start_policy,CONSTANT_PUBLIC,strict_h50_profile,Fixed local STRICT experiment deployment,canonical_v9_1/profile.py,strict_h50_profile,141,True
go_plan_public_fields,PUBLIC_POLICY,PublicCapacityProfile.go_plan_fields,No private-action argument,canonical_v9_1/profile.py,PublicCapacityProfile.go_plan_fields,111,True
private_actual_real_actions,SECRET,invoke_go_with_public_profile,Used only for capacity validation and encrypted action list,canonical_v9_1/runner.py,invoke_go_with_public_profile,13,True
historical_v9_rounds/admission/maximum,SECRET_DEPENDENT_INVALID,capacity_profile(actions),Frozen V9 development-only path derived public fields from len(actions); excluded from V9.1,canonical_v9/runner.py,capacity_profile,178,False
historical_v9_profile_id,SECRET_DEPENDENT_INVALID,functional_run profile format,Frozen negative evidence; excluded from V9.1 public grammar,canonical_v9/runner.py,capacity_profile,178,False
