seed,episode_id,entity,project,policy_profile,requires_history,permission_missing,initial_permission,consent,prior_disclosure,action_type
0,0,8,8,3,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,1,35,21,5,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,2,32,5,3,1,0,DENY,DENY,0,FORWARD_INFORMATION
0,3,39,4,0,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,4,17,17,5,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,5,44,9,4,0,0,DENY,ALLOW,0,SEND_MESSAGE
0,6,73,19,0,0,0,ALLOW,ALLOW,0,CREATE_EVENT
0,7,50,12,3,1,0,DENY,DENY,0,FORWARD_INFORMATION
0,8,91,6,5,1,1,MISSING,DENY,1,SHARE_DOCUMENT
0,9,56,21,3,0,1,MISSING,DENY,1,SHARE_DOCUMENT
0,10,31,23,2,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,11,30,12,5,0,1,MISSING,DENY,0,SHARE_DOCUMENT
0,12,75,4,5,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,13,62,12,5,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,14,7,0,5,1,0,DENY,ALLOW,1,SEND_MESSAGE
0,15,7,3,5,1,0,DENY,DENY,1,SEND_MESSAGE
0,16,21,13,5,1,1,MISSING,DENY,1,FORWARD_INFORMATION
0,17,75,0,5,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,18,5,17,4,1,0,DENY,DENY,1,SEND_MESSAGE
0,19,2,5,1,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,20,28,18,3,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
0,21,24,22,5,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,22,30,3,5,1,1,MISSING,ALLOW,0,CREATE_EVENT
0,23,88,0,0,0,1,MISSING,ALLOW,1,SEND_MESSAGE
0,24,78,8,4,0,0,DENY,ALLOW,1,SEND_MESSAGE
0,25,55,5,3,0,1,MISSING,ALLOW,1,SEND_MESSAGE
0,26,77,14,2,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
